"","gene","SL27417..norm.counts.","SL27417..RPKM.","cell_line","tpm","rna_counts"
"1342","AURKB",3085.994082,73.44827544,"MCF10A_cellline",145.927515052185,7.19896078384587
"1568","BIRC5",5984.731241,66.52971397,"MCF10A_cellline",132.1816717767,7.05725174473471
"1736","BUB1",4840.591445,40.65601568,"MCF10A_cellline",80.7756384280474,6.35359921245904
"2801","CASC5",1724.636256,6.610009981,"MCF10A_cellline",13.1328111547757,3.82097655529907
"3256","CDCA8",2928.698267,37.31565712,"MCF10A_cellline",74.1389921470562,6.23148985986631
"7604","GSG2",608.5849979,6.358731794,"MCF10A_cellline",12.6335700058711,3.76909148207647
"8659","INCENP",5982.858672,42.39205957,"MCF10A_cellline",84.2248218073928,6.41320177279193
"8933","KAT5",1104.815842,14.7224299,"MCF10A_cellline",29.2506202217372,4.91889281683333
"14068","NDC80",1503.673087,20.37685848,"MCF10A_cellline",40.4848759857614,5.37451356828278
"16053","PLK1",9293.561061,125.7073269,"MCF10A_cellline",249.756141018656,7.97014122265076
"18444","SGOL1",739.6648437,8.706413504,"MCF10A_cellline",17.2979594148999,4.19361086327907
"21630","TTK",2559.80213,9.003104969,"MCF10A_cellline",17.8874279621908,4.23935434776055
