	SL27417 (norm counts)	SL27417 (RPKM)
1/2-SBSRNA4	13.10798457	0.401253306
A1BG	88.01075355	1.462001929
A1BG-AS1	16.85312302	0.231498514
A1CF	0	0
A2LD1	117.9718611	1.291289687
A2M	0	0
A2ML1	595.4770134	3.899071684
A2MP1	0	0
A4GALT	3297.594404	46.09882696
A4GNT	0	0
AA06	0	0
AAA1	0	0
AAAS	2520.478176	41.53845133
AACS	1741.489379	15.3972561
AACSP1	3.745138449	0.050494084
AADAC	0	0
AADACL2	0	0
AADACL3	0	0
AADACL4	0	0
AADAT	288.3756606	3.821876282
AAGAB	1885.677209	19.4242995
AAK1	872.6172586	1.199607096
AAMP	5529.69692	90.62013518
AANAT	9.362846122	0.186766029
AARS	5632.688227	49.50128229
AARS2	1232.15055	7.559409974
AARSD1	1131.031812	17.44377947
AASDH	395.1121064	3.25396354
AASDHPPT	3956.738771	40.47271538
AASS	323.9544758	1.618012855
AATF	4885.533107	67.01428312
AATK	101.1187381	0.569361813
AATK-AS1	0	0
ABAT	39.32395371	0.234747948
ABCA1	11.23541535	0.031392132
ABCA10	230.3260146	1.06918876
ABCA11P	121.7169996	1.878716212
ABCA12	2647.812883	9.050707802
ABCA13	1.872569224	0.00319385
ABCA17P	18.72569224	0.131107872
ABCA2	2007.394209	7.236442434
ABCA3	78.64790743	0.348524116
ABCA4	0	0
ABCA5	185.3843532	0.624107931
ABCA6	408.2200909	2.26770979
ABCA7	559.8981981	2.414834284
ABCA8	1.872569224	0.009624268
ABCA9	7.490276898	0.034931392
ABCB1	1.872569224	0.011667398
ABCB10	3859.365172	29.31997335
ABCB11	0	0
ABCB4	1.872569224	0.013882989
ABCB5	0	0
ABCB6	969.9908583	9.445441279
ABCB7	1606.664395	19.78903845
ABCB8	3423.056542	21.41940235
ABCB9	104.8638766	0.919629199
ABCC1	3359.389189	15.43503109
ABCC10	1166.610627	6.763711178
ABCC11	0	0
ABCC12	0	0
ABCC13	0	0
ABCC2	528.0645213	3.072563528
ABCC3	1112.306119	9.270247002
ABCC4	1733.999102	11.43853547
ABCC5	850.1464279	6.383090993
ABCC6	1.872569224	0.018850429
ABCC6P1	0	0
ABCC6P2	1.872569224	0.07767769
ABCC8	0	0
ABCC9	0	0
ABCD1	99.2461689	0.793188274
ABCD2	7.490276898	0.041031771
ABCD3	2990.493051	38.37929871
ABCD4	378.2589833	3.592905797
ABCE1	7862.918174	55.0060384
ABCF1	4636.4814	40.0355681
ABCF2	7218.75436	73.12210724
ABCF3	1902.530332	21.77971577
ABCG1	314.5916297	3.101129349
ABCG2	20.59826147	0.136248251
ABCG4	3.745138449	0.029495735
ABCG5	0	0
ABCG8	0	0
ABHD1	3.745138449	0.076110081
ABHD10	1396.936641	15.45853721
ABHD11	1190.954027	23.88716993
ABHD11-AS1	14.9805538	0.932794771
ABHD12	1782.685902	27.24952052
ABHD12B	18.72569224	0.345998693
ABHD13	861.3818433	4.746253392
ABHD14A	132.9524149	3.52007401
ABHD14A-ACY1	0	0
ABHD14B	904.4509354	11.79673967
ABHD15	428.8183524	3.734830419
ABHD16A	868.8721201	12.29652694
ABHD16B	58.04964596	0.955063604
ABHD2	3059.778113	10.0163034
ABHD3	436.3086293	6.200304997
ABHD4	183.511784	2.141942109
ABHD5	1196.571734	6.536433726
ABHD6	224.7083069	2.752605374
ABHD8	176.0215071	2.46541908
ABI1	2520.478176	20.7604388
ABI2	1217.169996	5.493865646
ABI3	0	0
ABI3BP	9.362846122	0.061610065
ABL1	3982.95474	20.68377233
ABL2	1947.471993	4.78966626
ABLIM1	8301.099372	32.00039854
ABLIM2	9.362846122	0.07845781
ABLIM3	6759.9749	45.79289893
ABO	0	0
ABP1	58.04964596	0.6996442
ABR	1994.286224	11.13994348
ABRA	0	0
ABT1	1587.938702	20.51900851
ABTB1	187.2569224	2.784373392
ABTB2	361.4058603	2.160094767
ACAA1	1767.705348	28.56819491
ACAA2	3893.071418	59.09059732
ACACA	7879.771297	23.76728704
ACACB	365.1509988	1.159464306
ACAD10	524.3193828	3.790994345
ACAD11	29.96110759	0.247443862
ACAD8	861.3818433	11.48636666
ACAD9	2102.895239	23.21790545
ACADL	0	0
ACADM	2496.134776	28.06901407
ACADS	181.6392148	2.781570038
ACADSB	947.5200276	4.666215392
ACADVL	7773.034851	101.542305
ACAN	0	0
ACAP1	5.617707673	0.065991665
ACAP2	1533.634195	6.266558209
ACAP3	1175.973473	9.194709149
ACAT1	8978.969431	123.5697564
ACAT2	2561.674699	48.51440195
ACBD3	2885.629175	23.69123671
ACBD4	134.8249842	2.077744975
ACBD5	1265.856796	9.609337967
ACBD6	3297.594404	59.88833926
ACBD7	16.85312302	0.146216827
ACCN1	0	0
ACCN2	387.6218295	2.951711692
ACCN3	13.10798457	0.186094144
ACCN4	0	0
ACCN5	0	0
ACCS	108.609015	1.57797782
ACCSL	0	0
ACD	2147.8369	30.6717859
ACE	3.745138449	0.033652365
ACE2	1.872569224	0.015678066
ACER1	0	0
ACER2	97.37359967	0.999165446
ACER3	1338.886995	8.935064397
ACHE	5.617707673	0.06369842
ACIN1	6436.020424	39.16496481
ACLY	18695.73114	126.6912572
ACMSD	0	0
ACN9	1058.001612	15.03507435
ACO1	2065.443855	17.10168927
ACO2	5231.958413	56.11096256
ACOT1	37.45138449	0.683563668
ACOT11	475.632583	5.380597998
ACOT12	0	0
ACOT13	1265.856796	8.708391792
ACOT2	89.88332277	1.564759752
ACOT4	0	0
ACOT6	0	0
ACOT7	5896.720488	113.4035951
ACOT8	567.388475	14.22281829
ACOT9	2207.759116	37.97039173
ACOX1	868.8721201	3.351900046
ACOX2	428.8183524	5.458974017
ACOX3	672.2523516	6.955517641
ACOXL	3.745138449	0.046441693
ACP1	2891.246883	54.64969855
ACP2	778.9887974	15.59218565
ACP5	1.872569224	0.03467666
ACP6	481.2502907	7.816501119
ACPL2	301.4836451	2.852057027
ACPP	1.872569224	0.021765211
ACPT	3.745138449	0.081863912
ACR	0	0
ACRBP	0	0
ACRC	14.9805538	0.138224565
ACRV1	13.10798457	0.361298399
ACSBG1	9.362846122	0.092373469
ACSBG2	0	0
ACSF2	170.4037994	2.238571076
ACSF3	981.2262736	8.02885653
ACSL1	3908.051971	30.16062103
ACSL3	7613.866467	51.81766252
ACSL4	6304.940579	35.66580331
ACSL5	13.10798457	0.114850181
ACSL6	1.872569224	0.008401459
ACSM1	0	0
ACSM2A	0	0
ACSM2B	0	0
ACSM3	24.34339992	0.386467091
ACSM4	0	0
ACSM5	0	0
ACSS1	67.41249208	0.550059615
ACSS2	2846.305221	28.07205066
ACSS3	0	0
ACTA1	11.23541535	0.220949872
ACTA2	449.4166139	8.362167839
ACTB	217311.6585	3513.956308
ACTBL2	0	0
ACTC1	3.745138449	0.029671782
ACTG1	67474.28686	995.1858442
ACTG2	1.872569224	0.043469868
ACTL10	264.0322606	3.803945818
ACTL6A	4162.721386	65.92460016
ACTL6B	0	0
ACTL7A	0	0
ACTL7B	0	0
ACTL8	20.59826147	0.32375459
ACTL9	0	0
ACTN1	17420.5115	137.3475767
ACTN2	1.872569224	0.012133369
ACTN3	1.872569224	0.019282473
ACTN4	27693.42626	205.6287431
ACTR10	1647.860918	19.81996796
ACTR1A	5578.38372	56.92064756
ACTR1B	1687.184871	21.92757863
ACTR2	16047.91825	119.5538905
ACTR3	8988.332277	97.21794387
ACTR3B	513.0839675	7.193334421
ACTR3BP2	0	0
ACTR3BP5	0	0
ACTR3C	1.872569224	0.044029866
ACTR5	915.6863508	10.82632012
ACTR6	940.0297507	15.74077804
ACTR8	880.1075355	7.109818509
ACTRT1	0	0
ACTRT2	0	0
ACVR1	593.6044442	5.889306817
ACVR1B	760.2631051	4.874236648
ACVR1C	5.617707673	0.018878628
ACVR2A	213.4728916	1.191305303
ACVR2B	136.6975534	0.351347634
ACVRL1	0	0
ACY1	48.68679984	0.912002841
ACY3	0	0
ACYP1	348.2978757	15.8187051
ACYP2	134.8249842	3.23261636
ADA	1301.435611	25.00403943
ADAD1	0	0
ADAD2	1.872569224	0.025194699
ADAL	389.4943987	4.452730254
ADAM1	24.34339992	0.250407261
ADAM10	3320.065235	24.79076212
ADAM11	20.59826147	0.137493949
ADAM12	69.28506131	0.427543256
ADAM15	21995.19811	223.6918361
ADAM17	1531.761626	12.65772678
ADAM18	0	0
ADAM19	151.6781072	0.685892315
ADAM2	0	0
ADAM20	0	0
ADAM21	44.94166139	0.493028641
ADAM21P1	3.745138449	0.053403412
ADAM22	3.745138449	0.011893235
ADAM23	0	0
ADAM28	0	0
ADAM29	0	0
ADAM30	0	0
ADAM32	9.362846122	0.101193733
ADAM33	0	0
ADAM3A	0	0
ADAM5P	0	0
ADAM6	0	0
ADAM7	0	0
ADAM8	559.8981981	5.254126907
ADAM9	10415.23003	76.94371102
ADAMDEC1	0	0
ADAMTS1	16.85312302	0.106024524
ADAMTS10	0	0
ADAMTS12	0	0
ADAMTS13	5.617707673	0.034976075
ADAMTS14	9.362846122	0.052175454
ADAMTS15	11.23541535	0.057888243
ADAMTS16	1.872569224	0.011045262
ADAMTS17	11.23541535	0.052006746
ADAMTS18	0	0
ADAMTS19	0	0
ADAMTS2	0	0
ADAMTS20	0	0
ADAMTS3	1.872569224	0.009428464
ADAMTS4	9.362846122	0.063249009
ADAMTS5	0	0
ADAMTS6	65.53992286	0.264252143
ADAMTS7	174.1489379	0.930426946
ADAMTS8	0	0
ADAMTS9	20.59826147	0.082719476
ADAMTS9-AS2	0	0
ADAMTSL1	0	0
ADAMTSL2	0	0
ADAMTSL3	14.9805538	0.05988785
ADAMTSL4	378.2589833	3.129288632
ADAMTSL5	273.3951068	2.806335199
ADAP1	1361.357826	17.20296968
ADAP2	43.06909216	0.459370763
ADAR	10724.20395	47.61044847
ADARB1	728.4294283	4.318412778
ADARB2	101.1187381	0.350878689
ADARB2-AS1	0	0
ADAT1	842.656151	6.906621399
ADAT2	617.9478441	2.888759538
ADAT3	286.5030913	5.302166853
ADC	31.83367682	0.428408566
ADCK1	447.5440446	6.160611515
ADCK2	2372.545207	29.40832486
ADCK3	3372.497173	33.85625757
ADCK4	887.5978124	11.54855615
ADCK5	428.8183524	6.43519342
ADCY1	3.745138449	0.008765041
ADCY10	5.617707673	0.031781341
ADCY2	0	0
ADCY3	3018.58159	20.14911328
ADCY4	0	0
ADCY5	1.872569224	0.009783539
ADCY6	990.5891197	4.665497044
ADCY7	868.8721201	4.150807026
ADCY8	0	0
ADCY9	1159.12035	4.386997516
ADCYAP1	0	0
ADCYAP1R1	0	0
ADD1	5072.790029	37.01697104
ADD2	1.872569224	0.014379462
ADD3	1007.442243	6.788320319
ADGB	0	0
ADH1A	0	0
ADH1B	22.47083069	0.245499858
ADH1C	0	0
ADH4	0	0
ADH5	4737.600138	52.52592497
ADH6	1.872569224	0.026127613
ADH7	0	0
ADHFE1	16.85312302	0.261651165
ADI1	5565.275735	97.2034077
ADIG	0	0
ADIPOQ	0	0
ADIPOR1	9284.198215	127.9512474
ADIPOR2	4048.494663	29.87848673
ADK	3556.008957	48.91521075
ADM	299.6110759	6.05509685
ADM2	56.17707673	0.395313928
ADNP	5821.817719	36.79202672
ADNP2	1805.156732	9.793132095
ADO	1001.824535	7.858319899
ADORA1	89.88332277	0.924906443
ADORA2A	5.617707673	0.064009083
ADORA2B	1200.316873	18.61558411
ADORA3	0	0
ADPGK	1616.027241	18.49264719
ADPRH	0	0
ADPRHL1	22.47083069	0.368353141
ADPRHL2	872.6172586	15.1235926
ADRA1A	0	0
ADRA1B	0	0
ADRA1D	1.872569224	0.020527437
ADRA2A	0	0
ADRA2B	0	0
ADRA2C	18.72569224	0.279433283
ADRB1	14.9805538	0.152911831
ADRB2	1258.366519	18.00508711
ADRB3	0	0
ADRBK1	4374.321708	37.31942105
ADRBK2	419.4555063	1.355928816
ADRM1	7673.788682	160.8754579
ADSL	3956.738771	79.03529577
ADSS	6542.75687	69.00314787
ADSSL1	82.39304588	1.359019549
ADTRP	46.81423061	0.749316161
