"","gene","cell_line","rna_counts"
"1","AURKB","TCGA.E9.A1NI.01A.11R.A14D.07",5.13491249405942
"2","AURKB","TCGA.E2.A1LK.01A.21R.A14D.07",5.97107539589704
"3","AURKB","TCGA.BH.A0B2.01A.11R.A10J.07",2.90293227689038
"4","AURKB","TCGA.E2.A107.01A.11R.A10J.07",5.90739230238755
"5","AURKB","TCGA.LL.A5YN.01A.11R.A28M.07",6.40697790745357
"6","AURKB","TCGA.BH.A0DQ.01A.11R.A084.07",4.84076193154834
"7","AURKB","TCGA.D8.A73X.01A.11R.A32P.07",3.64574085314487
"8","AURKB","TCGA.AR.A0TP.01A.11R.A084.07",5.05274689622965
"9","AURKB","TCGA.E2.A1IF.01A.11R.A144.07",4.42216598429328
"10","AURKB","TCGA.EW.A6SD.01A.12R.A33J.07",4.94460807071772
"11","AURKB","TCGA.AO.A03T.01A.21R.A034.07",4.55513100203772
"12","AURKB","TCGA.OL.A5D8.01A.11R.A27Q.07",3.86771309040499
"13","AURKB","TCGA.AR.A24X.01A.11R.A169.07",3.68603280364681
"14","AURKB","TCGA.B6.A0WV.01A.11R.A109.07",4.54147674255795
"15","AURKB","TCGA.A8.A09W.01A.11R.A00Z.07",5.58410367841722
"16","AURKB","TCGA.C8.A8HQ.01A.11R.A36F.07",5.46517397869057
"17","AURKB","TCGA.B6.A0RU.01A.11R.A084.07",5.62798823735228
"18","AURKB","TCGA.A8.A09E.01A.11R.A00Z.07",5.50037013211439
"19","AURKB","TCGA.A7.A6VX.01A.12R.A33J.07",3.65876847499465
"20","AURKB","TCGA.E2.A14O.01A.31R.A115.07",4.81735775258131
"21","AURKB","TCGA.A2.A1G6.01A.11R.A13Q.07",1.56284293366016
"22","AURKB","TCGA.E2.A1LA.01A.11R.A144.07",5.28020621599559
"23","AURKB","TCGA.BH.A0GZ.01A.11R.A056.07",4.5877625971421
"24","AURKB","TCGA.D8.A1JG.01B.11R.A13Q.07",5.65220496400177
"25","AURKB","TCGA.A7.A13G.01B.04R.A22O.07",2.3840111808539
"26","AURKB","TCGA.B6.A400.01A.11R.A239.07",6.88926972312687
"27","AURKB","TCGA.MS.A51U.01A.31R.A266.07",3.04825407045441
"28","AURKB","TCGA.BH.A0EB.01A.11R.A034.07",3.41203346302983
"29","AURKB","TCGA.AR.A2LR.01A.12R.A18M.07",6.03940923292057
"30","AURKB","TCGA.BH.A0AZ.01A.21R.A12P.07",2.84043796070997
"31","AURKB","TCGA.BH.A18K.01A.11R.A12D.07",4.97608447222368
"32","AURKB","TCGA.AO.A0J7.01A.11R.A034.07",6.24030241273668
"33","AURKB","TCGA.A2.A0YH.01A.11R.A109.07",4.69286695884904
"34","AURKB","TCGA.BH.A42V.01A.11R.A24H.07",3.25171571234054
"35","AURKB","TCGA.AR.A5QN.01A.12R.A28M.07",3.36564928194899
"36","AURKB","TCGA.B6.A0X1.01A.11R.A109.07",5.85761347090299
"37","AURKB","TCGA.S3.A6ZG.01A.22R.A32P.07",5.78481036329681
"38","AURKB","TCGA.A8.A085.01A.11R.A00Z.07",4.25923615943482
"39","AURKB","TCGA.D8.A1J9.01A.11R.A13Q.07",3.90728102416302
"40","AURKB","TCGA.A7.A0DC.01B.04R.A22O.07",2.56701038119062
"41","AURKB","TCGA.AR.A24S.01A.11R.A169.07",4.93545893871273
"42","AURKB","TCGA.BH.A0BA.01A.11R.A056.07",4.15183484638675
"43","AURKB","TCGA.A2.A0YM.01A.11R.A109.07",7.01839539916791
"44","AURKB","TCGA.D8.A27N.01A.11R.A16F.07",4.08280251308808
"45","AURKB","TCGA.EW.A1PH.01A.11R.A14M.07",6.64889670292574
"46","AURKB","TCGA.EW.A1OZ.01A.11R.A144.07",5.74493052825185
"47","AURKB","TCGA.AO.A12G.01A.11R.A10J.07",2.65915614343341
"48","AURKB","TCGA.AR.A1AK.01A.21R.A12P.07",4.62480536449487
"49","AURKB","TCGA.AC.A5EH.01A.11R.A28M.07",3.58280255960738
"50","AURKB","TCGA.D8.A27I.01A.11R.A16F.07",3.69511557469882
"51","AURKB","TCGA.D8.A1JP.01A.11R.A13Q.07",4.27070046371822
"52","AURKB","TCGA.E2.A14R.01A.11R.A115.07",6.29965122527575
"53","AURKB","TCGA.A2.A0SW.01A.11R.A084.07",4.97208240458232
"54","AURKB","TCGA.AQ.A0Y5.01A.11R.A14M.07",2.67399448724352
"55","AURKB","TCGA.AO.A125.01A.11R.A10J.07",4.02119589714788
"56","AURKB","TCGA.A2.A0T2.01A.11R.A084.07",4.34429526987508
"57","AURKB","TCGA.A2.A1FW.01A.11R.A13Q.07",5.02482760087406
"58","AURKB","TCGA.B6.A0I9.01A.11R.A034.07",5.46809337186582
"59","AURKB","TCGA.GM.A2DK.01A.21R.A180.07",4.72528092065841
"60","AURKB","TCGA.E2.A159.01A.11R.A115.07",5.85475631800093
"61","AURKB","TCGA.A8.A084.01A.21R.A00Z.07",4.42472896639052
"62","AURKB","TCGA.BH.A42U.01A.12R.A24H.07",3.07290824447667
"63","AURKB","TCGA.D8.A1JH.01A.11R.A13Q.07",2.95464899608653
"64","AURKB","TCGA.E2.A14P.01A.31R.A12D.07",5.79349369513598
"65","AURKB","TCGA.E2.A1L7.01A.11R.A144.07",5.93790942208641
"66","AURKB","TCGA.E2.A1IL.01A.11R.A14D.07",3.28652946030666
"67","AURKB","TCGA.BH.A6R8.01A.21R.A33J.07",3.84134903925154
"68","AURKB","TCGA.A7.A4SD.01A.11R.A266.07",6.20894036761944
"69","AURKB","TCGA.A8.A083.01A.21R.A00Z.07",1.66403175642788
"70","AURKB","TCGA.B6.A0I5.01A.11R.A034.07",4.14043592982977
"71","AURKB","TCGA.D8.A1JA.01A.11R.A13Q.07",2.89085900343929
"72","AURKB","TCGA.A2.A0D0.01A.11R.A00Z.07",7.41037964840704
"73","AURKB","TCGA.A8.A07B.01A.11R.A00Z.07",4.93296594197613
"74","AURKB","TCGA.C8.A275.01A.21R.A16F.07",5.96983625096933
"75","AURKB","TCGA.AO.A1KQ.01A.11R.A13Q.07",6.12428127407226
"76","AURKB","TCGA.E9.A5UP.01A.11R.A28M.07",2.00893289462698
"77","AURKB","TCGA.AR.A24T.01A.11R.A169.07",1.88437840715481
"78","AURKB","TCGA.D8.A1XB.01A.11R.A14D.07",3.80916234808953
"79","AURKB","TCGA.E9.A245.01A.22R.A16F.07",3.39866040788574
"80","AURKB","TCGA.WT.AB44.01A.11R.A41B.07",1.69272566177175
"81","BIRC5","TCGA.E9.A1NI.01A.11R.A14D.07",5.81319877026831
"82","BIRC5","TCGA.E2.A1LK.01A.21R.A14D.07",5.7064878601065
"83","BIRC5","TCGA.BH.A0B2.01A.11R.A10J.07",4.08030960540328
"84","BIRC5","TCGA.E2.A107.01A.11R.A10J.07",6.77020189268895
"85","BIRC5","TCGA.LL.A5YN.01A.11R.A28M.07",5.51960483866928
"86","BIRC5","TCGA.BH.A0DQ.01A.11R.A084.07",4.71811732053232
"87","BIRC5","TCGA.D8.A73X.01A.11R.A32P.07",3.62545455842128
"88","BIRC5","TCGA.AR.A0TP.01A.11R.A084.07",6.59970681473379
"89","BIRC5","TCGA.E2.A1IF.01A.11R.A144.07",4.71979219569148
"90","BIRC5","TCGA.EW.A6SD.01A.12R.A33J.07",5.82632260146394
"91","BIRC5","TCGA.AO.A03T.01A.21R.A034.07",6.24633286733256
"92","BIRC5","TCGA.OL.A5D8.01A.11R.A27Q.07",4.76407763508708
"93","BIRC5","TCGA.AR.A24X.01A.11R.A169.07",4.58108143570871
"94","BIRC5","TCGA.B6.A0WV.01A.11R.A109.07",6.44701027676323
"95","BIRC5","TCGA.A8.A09W.01A.11R.A00Z.07",7.55096601136142
"96","BIRC5","TCGA.C8.A8HQ.01A.11R.A36F.07",6.06041652956623
"97","BIRC5","TCGA.B6.A0RU.01A.11R.A084.07",6.68868901951108
"98","BIRC5","TCGA.A8.A09E.01A.11R.A00Z.07",5.76935314659631
"99","BIRC5","TCGA.A7.A6VX.01A.12R.A33J.07",4.85864674275474
"100","BIRC5","TCGA.E2.A14O.01A.31R.A115.07",5.62423803923217
"101","BIRC5","TCGA.A2.A1G6.01A.11R.A13Q.07",1.53977062680274
"102","BIRC5","TCGA.E2.A1LA.01A.11R.A144.07",6.24003794484025
"103","BIRC5","TCGA.BH.A0GZ.01A.11R.A056.07",4.71984347634449
"104","BIRC5","TCGA.D8.A1JG.01B.11R.A13Q.07",6.12520074903464
"105","BIRC5","TCGA.A7.A13G.01B.04R.A22O.07",2.72873550539573
"106","BIRC5","TCGA.B6.A400.01A.11R.A239.07",7.33703077172385
"107","BIRC5","TCGA.MS.A51U.01A.31R.A266.07",3.80325349667035
"108","BIRC5","TCGA.BH.A0EB.01A.11R.A034.07",3.68792984285183
