"Time","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i","Sum_Inactive"
0,1.018369601064,0,0,0,0,0,1.018369601064
1,0.531147868340718,0.432555585360571,0,0,0,0,0.96370345370129
2,0.449731391790027,0.489346460835283,0,0,0,0,0.93907785262531
3,0.434212728123642,0.494135684004492,0,0,0,0,0.928348412128134
4,0.430194146636268,0.493465153617721,0,0,0,0,0.923659300253989
5,0.428479360420032,0.49312560327795,0,0,0,0,0.921604963697982
6,0.426681548926246,0.494017071378959,0,0,0,0,0.920698620305205
7,0.421985565397709,0.498294040103981,0,0,0,0,0.92027960550169
8,0.406862566840736,0.51316211516316,0,0,0,0,0.920024682003896
9,0.37278534513054,0.546946989182023,0,0,0,0,0.919732334312562
10,0.323755080678036,0.595535702141778,0,0,0,0,0.919290782819814
