"Time","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i","Sum_Inactive"
0,0.783361231587692,0,0,0,0,0,0.783361231587692
1,0.408575560312256,0.332720463739197,0.00645254161332966,0.157072131113789,1.15438606503353e-06,3.21013099436774e-06,0.90482506129563
2,0.345947009847041,0.376414754220458,0.00504726400324209,0.213151519929525,3.18431875208209e-06,2.24189587841398e-05,0.940586151277802
3,0.334009543601039,0.380100134101636,0.0048036796583733,0.219555211905305,7.83240781663128e-06,7.36996939669467e-05,0.938550101368136
4,0.330918547694345,0.379584154291972,0.00474757023741507,0.219126504128948,1.87446067232562e-05,0.000196470163592291,0.934591991122995
5,0.329600518081763,0.379321836310266,0.00472318247784101,0.218457718245266,4.50381141758209e-05,0.000488746511192494,0.932637039740505
6,0.328222520326527,0.380002539991575,0.00469256717510636,0.218117171600094,0.0001114578807753,0.00120681260378161,0.932353069577859
7,0.324632687221832,0.383269811831445,0.00461157379767769,0.218193060380062,0.000289106405997848,0.00307434150711467,0.934070581144129
8,0.313059796826714,0.394645904958459,0.00436291562603534,0.21939078126588,0.00076884655274831,0.00829561185644468,0.940523857086281
9,0.286903984459836,0.420575503132946,0.00380351954773181,0.22190230458405,0.00182866889134308,0.0229654863280328,0.957979466943939
10,0.249209251366244,0.457929036260952,0.00299942091188414,0.221572163499249,0.0033257462404125,0.0581686954294183,0.99320431370816
