"Time","pH3","pH3_CPCa","pH2A_Sgo1_pH3_CPCa"
0,0,0,0
1,2.71694886457043e-07,2.18568493168356e-12,2.99035772449739e-13
2,1.78689177869765e-05,9.8958140269806e-10,7.06190736964585e-10
3,4.6661015224175e-05,1.02312720407071e-08,1.70357153385384e-08
4,5.87845442309406e-05,4.25144475921034e-08,1.12354771486377e-07
5,6.81003241094973e-05,1.44092652233245e-07,4.78231175738812e-07
6,8.17790631400137e-05,4.83733123029627e-07,1.76364744092546e-06
7,0.000100426867796193,1.69728213300685e-06,6.33619068454395e-06
8,0.000123649049097491,6.15382151150041e-06,2.28872565437212e-05
9,0.000151269822476754,2.03017268532761e-05,7.58825822802165e-05
10,0.000183787577168988,5.26044548604796e-05,0.000199967880471972
