"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","pH2A_Sgo1_pH3_CPCa","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","pH2A_Sgo1_pH3_CPCi"
0,0,0,0,0,0.819188992046154,0,0,0
1,6.27319661536354e-05,8.51099489314091e-06,2.18568493168356e-12,2.99035772449739e-13,0.787607655885051,0.102822333064807,2.69624000365523e-08,3.6002619399023e-09
2,0.000122835251730889,8.76578822951762e-05,9.8958140269806e-10,7.06190736964585e-10,0.691440802777178,0.426067815483328,5.01290816383017e-06,3.33879729438549e-06
3,0.000186261397094264,0.000333901061083298,1.02312720407071e-08,1.70357153385384e-08,0.589295294931799,0.757726023741161,2.41239415346331e-05,3.59153491955212e-05
4,0.000287035499438184,0.000947539236444321,4.25144475921034e-08,1.12354771486377e-07,0.508936536093894,0.987573300365715,4.48689371726341e-05,0.000104313714860063
5,0.000511806542557043,0.00245747362857428,1.44092652233245e-07,4.78231175738812e-07,0.450696920013902,1.11943481197768,6.47783472908088e-05,0.00018972478642423
6,0.00114772896195575,0.00630939090762336,4.83733123029627e-07,1.76364744092546e-06,0.40787484870063,1.18510675461779,8.77671985955122e-05,0.000286495229356882
7,0.00330361355016514,0.0167372181548285,1.69728213300685e-06,6.33619068454395e-06,0.373815282327172,1.2074356413197,0.000115477530958905,0.000395649251603255
8,0.0101695289669784,0.0461300737453277,6.15382151150041e-06,2.28872565437212e-05,0.341709208126204,1.19049810804327,0.000146283578737373,0.000513047301971243
9,0.0246476483314725,0.119734953407235,2.03017268532761e-05,7.58825822802165e-05,0.306223739396305,1.11811592843121,0.000173868830459137,0.000618217111518828
10,0.0452514663926495,0.253293614024515,5.26044548604796e-05,0.000199967880471972,0.266995637838366,0.979364124974604,0.00018975626152827,0.000680239820528421
