"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_pH3_CPCa"
0,0,0,0,0
1,1.99076391035584,0.240650289440895,8.51099489314091e-06,2.99035772449739e-13
2,3.08513069909809,0.425883950261687,8.76578822951762e-05,7.06190736964585e-10
3,3.77045628008897,0.426089987944568,0.000333901061083298,1.70357153385384e-08
4,4.15302046014597,0.34598250049375,0.000947539236444321,1.12354771486377e-07
5,4.32601438377947,0.264776988567056,0.00245747362857428,4.78231175738812e-07
6,4.37758529701208,0.207982326226593,0.00630939090762336,1.76364744092546e-06
7,4.36946013947318,0.174109084712685,0.0167372181548285,6.33619068454395e-06
8,4.33640193157955,0.155653446431897,0.0461300737453277,2.28872565437212e-05
9,4.29664299773105,0.146422799300111,0.119734953407235,7.58825822802165e-05
10,4.2597140887566,0.14252091899009,0.253293614024515,0.000199967880471972
