"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Sum_Active"
0,0.254592400266,0,0,0,0,0,0.254592400266
1,0.205676435060294,0.100832370843205,0,0,0,0,0.306508805903499
2,0.210100165271356,0.120022071603769,0,0,0,0,0.330122236875125
3,0.21438437807441,0.126290465532172,0,0,0,0,0.340674843606582
4,0.216509488088023,0.128825428653899,0,0,0,0,0.345334916741922
5,0.21734382653353,0.130036779297534,0,0,0,0,0.347380605831064
6,0.217294251845707,0.130980375163005,0,0,0,0,0.348274627008712
7,0.215761127113834,0.13289824949053,0,0,0,0,0.348659376604364
8,0.210074041221398,0.138733551829643,0,0,0,0,0.348807593051041
9,0.197275211388666,0.151548138383654,0,0,0,0,0.34882334977232
10,0.178741013783382,0.169999468744871,0,0,0,0,0.348740482528253
