"Time","pH3","pH3_CPCa","pH3_CPCi","pH2A_Sgo1_pH3_CPCa","pH2A_Sgo1_pH3_CPCi","Total"
0,0,0,0,0,0,0
1,0.272270069427159,1.05372020104403e-05,0.124409506811801,1.35077256175253e-06,0.0156720410968617,0.412363505310393
2,0.37979330777992,8.10547204852408e-05,0.341585010555011,4.57816140576386e-05,0.180958981675423,0.902464136344897
3,0.409151176608039,0.000313779742123169,0.493516473064884,0.00032535097907411,0.461861618152166,1.36516839854629
4,0.437389200211746,0.00123778977139508,0.628562851380701,0.0015856136755804,0.721896997090288,1.79067245212971
5,0.471070074011828,0.00570256785967294,0.77034324390733,0.00741098718495941,0.909936120390063,2.16446299335385
6,0.505972113534184,0.0299690778372054,0.899276286703099,0.0364796242974004,1.01096286648613,2.48265996885802
7,0.53955801622627,0.153938384886383,0.92516929089382,0.172127335611868,0.95963512888118,2.75042815649952
8,0.573796645091537,0.500405460504447,0.718630671728309,0.515743352022557,0.671464476128347,2.9800406054752
9,0.615876074759336,0.820255320445424,0.528292394990723,0.784579442709465,0.441663563023661,3.19066679592861
10,0.671077871875031,0.99043069564888,0.480953766183797,0.883357245422719,0.373845617155564,3.39966519628599
