"Time","pH3","pH3_CPCa","pH2A_Sgo1_pH3_CPCa"
0,0,0,0
1,0.272270069427159,1.05372020104403e-05,1.35077256175253e-06
2,0.37979330777992,8.10547204852408e-05,4.57816140576386e-05
3,0.409151176608039,0.000313779742123169,0.00032535097907411
4,0.437389200211746,0.00123778977139508,0.0015856136755804
5,0.471070074011828,0.00570256785967294,0.00741098718495941
6,0.505972113534184,0.0299690778372054,0.0364796242974004
7,0.53955801622627,0.153938384886383,0.172127335611868
8,0.573796645091537,0.500405460504447,0.515743352022557
9,0.615876074759336,0.820255320445424,0.784579442709465
10,0.671077871875031,0.99043069564888,0.883357245422719
