"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_CPCi","pH2A_Sgo1_pH3_CPCi","pH2A_Sgo1_pH3_CPCa","Total"
0,0,0,0,0,0,0,0
1,2.28029760876484,0.285428621246527,1.01956557862795e-05,0.120592629298256,0.0156720410968617,1.35077256175253e-06,2.70200244683483
2,3.02249231589406,0.397043956287257,9.0106098652568e-05,0.380492560753506,0.180958981675423,4.57816140576386e-05,3.98112370232295
3,3.39851697139654,0.307702245824966,0.000327702519943692,0.507810070713321,0.461861618152166,0.00032535097907411,4.67654395958601
4,3.6068879489014,0.19631893946567,0.00103528780597512,0.504262505092291,0.721896997090288,0.0015856136755804,5.0319872920312
5,3.70179817366889,0.12154734915127,0.00348848951709321,0.443683983675216,0.909936120390063,0.00741098718495941,5.18786510358749
6,3.72576234252919,0.0822061012840495,0.0131509197355291,0.369238786651816,1.01096286648613,0.0364796242974004,5.23780064098411
7,3.71201099664107,0.0634373641074587,0.0497435055794717,0.279636053128228,0.95963512888118,0.172127335611868,5.23659038394928
8,3.68070365606694,0.0542038548782589,0.124272168495573,0.166025155303879,0.671464476128347,0.515743352022557,5.21241266289555
9,3.64216205931006,0.0490390196298923,0.16482957595808,0.0963574756172183,0.441663563023661,0.784579442709465,5.17863113624838
10,3.60118913877273,0.0456443910368924,0.165133759268499,0.0721486507079393,0.373845617155564,0.883357245422719,5.14131880236435
