"Time","pH3","pH3_CPCa"
0,0,0
1,17.3179635356269,3.13171131545263e-05
2,28.2904007622233,0.00337677952311314
3,33.8774403095837,0.130862629677836
4,39.9966093990663,0.435618680637687
5,43.5955010482897,0.598998258439949
6,45.0787928947906,0.731657233414156
7,45.655538816105,0.844452574469027
8,45.8895648920859,0.938520313343373
9,45.9946480692553,1.01614910526034
10,46.049458073056,1.07992505539619
11,46.083227139298,1.13223002541883
12,46.1070367404074,1.17511566660106
13,46.1253153373222,1.21029871088591
14,46.1399926659879,1.23917459152433
15,46.1520502754996,1.26290789416562
16,46.1620654980611,1.28243578455498
17,46.1704352496008,1.29852724204597
18,46.1774558109629,1.31180639656944
19,46.183378370971,1.32281457835696
20,46.188560331168,1.33231297762256
21,46.1931188972135,1.34055183613533
22,46.1967617971533,1.34695512600595
23,46.1996839831164,1.35195092191839
24,46.2021718105421,1.35612144207745
25,46.2043166981429,1.35965255439814
26,46.2061375593927,1.36258989680638
27,46.2076901365528,1.36504547493207
28,46.2090261553277,1.36711957862991
29,46.2102082442681,1.36892667879554
30,46.2113686233041,1.37069661545652
31,46.2125290085055,1.37246656198815
32,46.2136894022468,1.37423652224433
33,46.2148498069077,1.3760065001159
34,46.2160102248748,1.37777649953418
35,46.2171706585431,1.37954652447298
36,46.218331110316,1.38131657894865
37,46.2181816985448,1.38087067085154
38,46.2180389104541,1.38044623512743
39,46.2178961247351,1.38002180446257
40,46.2177533423377,1.37959738088097
41,46.2176105642111,1.37917296640478
42,46.2174677913043,1.37874856305397
43,46.2173250245657,1.37832417284621
44,46.2171822649431,1.37789979779671
45,46.2170395133837,1.37747543991807
46,46.216896770834,1.37705110122024
47,46.21675403824,1.37662678371044
48,46.2166113165468,1.37620248939326
49,46.2164686066992,1.37577822027067
50,46.2163259096413,1.37535397834222
