"Time","Haspini","Plk1i"
0,0,12.7406933930769
1,0,12.7384939556618
2,0,12.6808957182467
3,0,11.7363346067617
4,0,7.06952073632322
5,0,3.56292827556514
6,0,3.18325695913517
7,0,3.16019638982397
8,0,3.15810914019521
9,0,3.15725787352493
10,0,3.15658364366774
11,0,3.1560107316909
12,0,3.15551887895478
13,0,3.15509418891223
14,0,3.15472588906783
15,0,3.15440528191007
16,0,3.15412533467885
17,0,3.15388021818873
18,0,3.15366516937121
19,0,3.15347408649294
20,0,3.15330601374575
21,0,3.15314791527915
22,0,3.153015397885
23,0,3.15290282848558
24,0,3.15280296668493
25,0,3.15271383238221
26,0,3.15263521779148
27,0,3.15256567336288
28,0,3.15250398985724
29,0,3.15245822790984
30,0,3.1524208513751
31,0,3.15238346514466
32,0,3.15234606552109
33,0,3.15230864883933
34,0,3.15227121147375
35,0,3.15223374984506
36,0,3.15219626042699
37,0,3.15204660121572
38,0,3.15202508486514
39,0,3.15200356935283
40,0,3.15198205501477
41,0,3.15196054218714
42,0,3.15193903120632
43,0,3.15191752240891
44,0,3.15189601613177
45,0,3.15187451271203
46,0,3.15185301248712
47,0,3.15183151579481
48,0,3.15181002297328
49,0,3.15178853436112
50,0,3.15176705029745
