"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","Sum_Inactive"
0,4.52,0,0,4.52
1,0.0037108173220084,0.411211886873495,0.0551941148152674,0.470116819010771
2,0.00359354504492115,0.502002902550267,0.200055283161726,0.705651730756914
3,0.00282100004954879,0.394789601870825,0.239855088359851,0.637465690280225
4,0.00110872132787852,0.144245290085833,0.107228056863969,0.25258206827768
5,0.000666213525005327,0.141051874389367,0.113638074295986,0.255356162210358
6,0.000639251930324288,0.154447924908814,0.13236401928417,0.287451196123309
7,0.000630068052902539,0.166442434657622,0.147201261987253,0.314273764697777
8,0.000622987161617752,0.176646983263062,0.158225607612078,0.335495578036758
9,0.000617248129605963,0.185358873240637,0.166327826887676,0.352303948257919
10,0.00061255976442121,0.192842999881344,0.172267493091882,0.365723052737648
11,0.000608703569996848,0.199309248920198,0.176620039911674,0.376537992401869
12,0.00060551056893919,0.204922804173045,0.179807723584673,0.385336038326658
13,0.000602850219305683,0.209815019423723,0.182137829457726,0.392555699100755
14,0.000600621896282152,0.214089725246578,0.183832317594447,0.398522664737307
15,0.00059874577257084,0.217834304575276,0.185055776433278,0.403488826781124
16,0.000597159251586658,0.221119836367772,0.185928353697768,0.407645349317126
17,0.00059581198913688,0.224006866481743,0.186539624635112,0.411142303105992
18,0.00059466439035224,0.226546144046598,0.18695650331175,0.4140973117487
19,0.000593685503191168,0.228788478222941,0.187229406514063,0.416611570240195
20,0.000592808019292545,0.23081239031865,0.187415343925277,0.41882054226322
21,0.000592032038403606,0.232650704763154,0.187536876807843,0.4207796136094
22,0.000591392948168778,0.234219197224899,0.187566926273907,0.422377516446974
23,0.000590866820997477,0.235549186132805,0.187542707024213,0.423682759978016
24,0.00059040947626893,0.236723515227224,0.187494000416721,0.424807925120214
25,0.000590008650350497,0.237768905736794,0.187430044582055,0.425788958969199
26,0.000589662086669437,0.238687854536695,0.187355266842063,0.426632783465428
27,0.000589360881675059,0.239497164454355,0.187275029819747,0.427361555155777
28,0.00058909858731985,0.240214114809235,0.187192900854741,0.427996114251296
29,0.00058885316819537,0.240863032029252,0.187110903813268,0.428562789010715
30,0.000588607885444339,0.241502076067058,0.187029082516888,0.429119766469391
31,0.000588362599194732,0.242141123413861,0.186947261124701,0.429676747137757
32,0.000588117308058696,0.242780175711901,0.186865439543137,0.430233732563097
33,0.000587872010630181,0.243419234810435,0.18678361764704,0.430790724468105
34,0.000587626705487691,0.244058302767431,0.186701795279545,0.431347724752464
35,0.00058738139119696,0.244697381850915,0.186619972251943,0.431904735494056
36,0.000587136066313596,0.245336474539557,0.186538148343576,0.432461758949447
37,0.000587243658932917,0.245340984962334,0.186478342336404,0.432406570957671
38,0.000587237921251014,0.245395042767172,0.186412568608694,0.432394849297117
39,0.000587232184841752,0.245449101742578,0.186346795240593,0.432383129168013
40,0.000587226450213693,0.245503162355507,0.186281022377894,0.432371411183615
41,0.000587220717874495,0.245557225071589,0.186215250167377,0.43235969595684
42,0.000587214988330598,0.245611290354986,0.186149478756807,0.432347984100124
43,0.000587209262086925,0.245665358668263,0.186083708294941,0.432336276225291
44,0.000587203539646588,0.245719430472259,0.186017938931529,0.432324572943435
45,0.000587197821510607,0.245773506225971,0.185952170817322,0.432312874864804
46,0.000587192108177634,0.245827586386443,0.185886404104086,0.432301182598707
47,0.000587186400143698,0.245881671408676,0.185820638944609,0.432289496753429
48,0.000587180697901964,0.24593576174554,0.185754875492722,0.432277817936164
49,0.000587175001942501,0.245989857847705,0.185689113903318,0.432266146752966
50,0.000587169312752079,0.246043960163592,0.185623354332379,0.432254483808723
