"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa","pH2A_Sgo1_CPCi","Total"
0,0,0,0,0,0
1,18.5619523496055,21.5307459462772,0.000253209363726193,0.411211886873495,40.5041633921198
2,41.115391521587,21.0329684692793,0.00918756647297906,0.502002902550267,62.6595504598895
3,55.9166548731221,21.922678786813,0.238902560282254,0.394789601870825,78.4730258220882
4,61.5075551185834,23.2683028430877,0.623209640581783,0.144245290085833,85.5433128923387
5,63.5515664022312,24.598081809113,0.75907825608316,0.141051874389367,89.0497783418167
6,64.3993311398888,25.7826802990338,0.871506562824577,0.154447924908814,91.2079659266559
7,64.8132110708946,26.8018781271681,0.976119343380555,0.166442434657622,92.7576509761009
8,65.0572803789224,27.6670008008011,1.07252661383178,0.176646983263062,93.9734547768183
9,65.2277581191861,28.3975130756133,1.16044471607753,0.185358873240637,94.9710747841176
10,65.3599181069028,29.013182768253,1.2400197884151,0.192842999881344,95.8059636634522
11,65.4677461318019,29.5316631558102,1.31163791124408,0.199309248920198,96.5103564477763
12,65.5577189418052,29.9681592297673,1.37581976615386,0.204922804173045,97.1066207418994
13,65.63352595007,30.3355920249249,1.4331512118217,0.209815019423723,97.6120842062403
14,65.6976383071646,30.6446845857208,1.48421536027652,0.214089725246578,98.0406279784085
15,65.7519771347691,30.9046862149793,1.5296125213188,0.217834304575276,98.4041101756425
16,65.7980648317695,31.1232646032569,1.56990150719381,0.221119836367772,98.712350778588
17,65.8371732994331,31.3069401092444,1.605614395055,0.224006866481743,98.9737346702143
18,65.8703609139519,31.4611765152986,1.63723500423576,0.226546144046598,99.1953185775328
19,65.8986179246673,31.5910314414703,1.6652982156291,0.228788478222941,99.3837360599897
20,65.9235055131243,31.7041202582131,1.69077981744985,0.23081239031865,99.5492179791059
21,65.9454068171137,31.8031850578917,1.7140237204357,0.232650704763154,99.6952663002043
22,65.9630467457295,31.8812891393169,1.7338260368662,0.234219197224899,99.8123811191375
23,65.9771733487833,31.9426094755373,1.75060525266635,0.235549186132805,99.9059372631198
24,65.9891461916447,31.9937951114957,1.76542517721047,0.236723515227224,99.9850899955781
25,65.9994042725704,32.0369976455768,1.7786263250429,0.237768905736794,100.052797148927
26,66.0080307369558,32.0726862536864,1.79023087179867,0.238687854536695,100.109635716978
27,66.0152987769687,32.1021952700475,1.80044607052675,0.239497164454355,100.157437281997
28,66.0214671210618,32.1267670803671,1.80949271874592,0.240214114809235,100.197941034984
29,66.0268535752664,32.1478650496245,1.81768145159663,0.240863032029252,100.233263108517
30,66.0321299512712,32.1684777257273,1.82574655462213,0.241502076067058,100.267856307688
31,66.0374063620975,32.189090529145,1.83381169021409,0.242141123413861,100.30244970487
32,66.0426828211506,32.2097035088598,1.84187687052472,0.242780175711901,100.337043376247
33,66.0479593418605,32.2303167139253,1.84994210751498,0.243419234810435,100.371637398111
34,66.0532359376941,32.2509301935119,1.85800741296562,0.244058302767431,100.406231846939
35,66.0585126221624,32.2715439969312,1.86607279848276,0.244697381850915,100.440826799427
36,66.0637894088204,32.2921581736343,1.87413827549679,0.245336474539557,100.475422332491
37,66.0624753834588,32.2839054692249,1.87473092825126,0.245340984962334,100.466452765897
38,66.0611912416273,32.2758246077992,1.87526664509494,0.245395042767172,100.457677537289
39,66.0599071094396,32.2677438076549,1.87580235815846,0.245449101742578,100.448902376996
40,66.0586229907571,32.2596630933313,1.8763380659294,0.245503162355507,100.440127312373
41,66.0573388894396,32.2515824893574,1.87687376689682,0.245557225071589,100.431352370765
42,66.0560548093448,32.2435020202498,1.87740945955149,0.245611290354986,100.422577579501
43,66.0547707543281,32.2354217105104,1.87794514238608,0.245665358668263,100.413802965893
44,66.0534867282427,32.227341584625,1.87848081389536,0.245719430472259,100.405028557235
45,66.0522027349392,32.2192616670615,1.87901647257638,0.245773506225971,100.396254380803
46,66.0509187782655,32.21118198227,1.87955211692855,0.245827586386443,100.38748046385
47,66.0496348620672,32.2031025546817,1.88008774545379,0.245881671408676,100.378706833611
48,66.0483509901874,32.19502340871,1.88062335665654,0.24593576174554,100.369933517299
49,66.0470671664673,32.1869445687514,1.88115894904378,0.245989857847705,100.36116054211
50,66.0457833947462,32.1788660591877,1.88169452112498,0.246043960163592,100.352387935223
