"Time","Haspina","Plk1a"
0,0,1.840322379
1,7.37529049023792,1.84317840365926
2,7.65345375740446,1.91736967536944
3,8.70327325815743,3.14405729576738
4,9.85291729316213,9.21224170631979
5,10.0191207382686,13.7708894121357
6,10.033916947098,14.2645706616276
7,10.0374383341799,14.2946292255326
8,10.0401060918346,14.2974151090233
9,10.0424703422496,14.2985861241732
10,10.0445598535248,14.2995183352
11,10.0463917725995,14.300310463679
12,10.0479895714332,14.3009895884977
13,10.0493791115936,14.3015746859361
14,10.0505852187364,14.3020807359518
15,10.0516316743086,14.3025198869478
16,10.0525394543755,14.302902103153
17,10.0533272844406,14.3032356564071
18,10.054011353908,14.3035273404626
19,10.0546076437535,14.3037888193942
20,10.0551402817755,14.3040117351109
21,10.0556224647054,14.3042249894381
22,10.056024280615,14.3044025730548
23,10.0563591942471,14.3045527509113
24,10.0566517132296,14.3046857740285
25,10.0569097749981,14.3048041671747
26,10.0571344105381,14.3049083302905
27,10.0573304509043,14.3050002895154
28,10.0575027536386,14.3050819901484
29,10.0576577899268,14.3051570158726
30,10.0578103588377,14.3052316496829
31,10.0579629285435,14.3053062829721
32,10.058115499431,14.3053809155395
33,10.0582680719318,14.3054555471843
34,10.0584206465236,14.3055301777052
35,10.0585732237294,14.3056048069006
36,10.0587258041183,14.3056794345677
37,10.0587259320971,14.3056748963531
38,10.0587300616519,14.3056852158099
39,10.0587341914349,14.3056955356637
40,10.0587383215371,14.3057058560726
41,10.0587424520495,14.3057161771931
42,10.0587465830624,14.3057264991802
43,10.0587507146659,14.305736822187
44,10.0587548469498,14.3057471463646
45,10.0587589800033,14.3057574718615
46,10.058763113915,14.3057677988237
47,10.0587672487734,14.3057781273942
48,10.058771384666,14.3057884577131
49,10.05877552168,14.3057987899171
50,10.0587796599017,14.3058091241394
