"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Sum_Active"
0,0.2103,0,0,0,0,0,0.2103
1,0.2318876045849,0.524274502575244,0,0,0,0,0.756162107160144
2,0.220486744458608,0.603696678753734,0,0,0,0,0.824183423212342
3,0.147261006663422,0.607758166674031,0,0,0,0,0.755019173337453
4,0.0447276369543164,0.582747641375671,0,0,0,0,0.627475278329987
5,0.0272234928955905,0.517285539860093,0,0,0,0,0.544509032755684
6,0.0241777275258874,0.460483801610227,0,0,0,0,0.484661529136114
7,0.0224915355076961,0.417464295744322,0,0,0,0,0.439955831252018
8,0.0212849207793063,0.386034392869691,0,0,0,0,0.407319313648998
9,0.0204176413756011,0.363490753150558,0,0,0,0,0.383908394526159
10,0.0197972926114341,0.347415873822211,0,0,0,0,0.367213166433645
11,0.0193512336086786,0.335888997508657,0,0,0,0,0.355240231117336
12,0.0190255677626636,0.32749283899516,0,0,0,0,0.346518406757824
13,0.0187822360298736,0.321231587559213,0,0,0,0,0.340013823589087
14,0.0185953955753294,0.316431796729524,0,0,0,0,0.335027192304853
15,0.0184476134964892,0.312640229657869,0,0,0,0,0.331087843154359
16,0.0183274476299562,0.309560259905916,0,0,0,0,0.327887707535872
17,0.018227329666515,0.306996028222368,0,0,0,0,0.325223357888883
18,0.018142245790653,0.304817985320417,0,0,0,0,0.32296023111107
19,0.0180685409988367,0.302935611912999,0,0,0,0,0.321004152911836
20,0.0180026163908038,0.301246014779698,0,0,0,0,0.319248631170502
21,0.0179429066298311,0.299718862573289,0,0,0,0,0.31766176920312
22,0.0178924574383656,0.298428449033412,0,0,0,0,0.316320906471778
23,0.0178492622806489,0.297323974141916,0,0,0,0,0.315173236422565
24,0.0178107874689856,0.296340256387383,0,0,0,0,0.314151043856369
25,0.0177762465519622,0.295457169394303,0,0,0,0,0.313233415946265
26,0.0177456170196984,0.294674122486762,0,0,0,0,0.312419739506461
27,0.0177184151920209,0.293978741685052,0,0,0,0,0.311697156877073
28,0.0176941317039089,0.29335799734497,0,0,0,0,0.311052129048879
29,0.0176720146524656,0.29279267127475,0,0,0,0,0.310464685927215
30,0.0176502141810847,0.29223545262467,0,0,0,0,0.309885666805754
31,0.0176284135572559,0.291678231404678,0,0,0,0,0.309306644961934
32,0.0176066127186418,0.291121006660325,0,0,0,0,0.308727619378967
33,0.0175848116007956,0.290563777455161,0,0,0,0,0.308148589055957
34,0.0175630101370985,0.290006542870015,0,0,0,0,0.307569553007113
35,0.0175412082587102,0.289449302002637,0,0,0,0,0.306990510261347
36,0.0175194058945397,0.288892053967802,0,0,0,0,0.306411459862342
37,0.0175178799930208,0.288855498581929,0,0,0,0,0.30637337857495
38,0.0175165481688445,0.288820641341179,0,0,0,0,0.306337189510024
39,0.017515216253152,0.288785781683853,0,0,0,0,0.306300997937005
40,0.0175138842093785,0.288750918642324,0,0,0,0,0.306264802851702
41,0.0175125520010211,0.288716051249399,0,0,0,0,0.30622860325042
42,0.017511219591645,0.288681178538439,0,0,0,0,0.306192398130084
43,0.0175098869448903,0.288646299543463,0,0,0,0,0.306156186488353
44,0.0175085540244767,0.288611413299237,0,0,0,0,0.306119967323714
45,0.017507220794209,0.288576518841348,0,0,0,0,0.306083739635557
46,0.0175058872179802,0.288541615206258,0,0,0,0,0.306047502424238
47,0.0175045532597753,0.288506701431337,0,0,0,0,0.306011254691112
48,0.0175032188836727,0.288471776554865,0,0,0,0,0.305974995438538
49,0.0175018840538455,0.288436839616014,0,0,0,0,0.305938723669859
50,0.0175005487345605,0.288401889654786,0,0,0,0,0.305902438389347
