"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi"
0,0,0,0,3.47692307692308,0,0
1,1.33913101620185e-06,0.00350774017329851,0,0.0028215741461708,2.33525666666382,0
2,7.54320500316965e-05,0.642633016192992,0,0.00271544408425892,2.11972702230226,0
3,0.000674105814312802,2.60938375161792,0,0.00209056222073581,0.421721352073331,0
4,0.0018909155333547,2.87836601110899,0,0.000851858828867977,0.350507778017381,0
5,0.00221782482109422,3.05044193819732,0,0.000506444603386011,0.340013767488519,0
6,0.00222221078781732,3.18479147219923,0,0.000487174709374226,0.347710863735831,0
7,0.00221634048969531,3.30768393977228,0,0.00048156188607875,0.355175866506153,0
8,0.00221204009473481,3.42318082128411,0,0.000477239255262533,0.36180629519041,0
9,0.00220925318072486,3.53247439922106,0,0.000473686105981501,0.367709292773644,0
10,0.00220763209336192,3.63579580281425,0,0.000470742224956596,0.372970142436031,0
11,0.00220688024262924,3.73301674757018,0,0.000468288475529612,0.377654909292763,0
12,0.00220676116213273,3.82394779246683,0,0.000466231527731538,0.381820662215071,0
13,0.00220709032484922,3.90847075922284,0,0.000464498036649509,0.385519562519798,0
14,0.00220772890733576,3.98655735047737,0,0.000463030841743871,0.388798511681735,0
15,0.00220856896593943,4.05832281018775,0,0.00046178345161486,0.391702735738004,0
16,0.00220953167094663,4.12396410416745,0,0.000460719045920184,0.394272725490756,0
17,0.00221055888272665,4.18376535443964,0,0.000459807550105978,0.396546016213787,0
18,0.00221160600567418,4.23804850989558,0,0.000459024944380775,0.398556017125639,0
19,0.0022126291360256,4.28733010660929,0,0.00045835415279322,0.400338771667705,0
20,0.00221367440298243,4.33280343766744,0,0.000457746257065465,0.401954724663842,0
21,0.0022146623450333,4.37492071968487,0,0.000457207889521158,0.403420584195264,0
22,0.00221560143390926,4.4117565433399,0,0.000456760182671315,0.404678999475237,0
23,0.00221646068329424,4.44368265366421,0,0.000456388634807577,0.40575094412752,0
24,0.00221726503718876,4.47230510069321,0,0.000456063915250125,0.406700057073789,0
25,0.0022180093631083,4.49813602206883,0,0.000455777937459142,0.407547253868076,0
26,0.0022186893048357,4.52115966938223,0,0.000455529394507881,0.408294383612841,0
27,0.00221931066460448,4.54168749407675,0,0.000455312360817699,0.408954619933036,0
28,0.00221987332013965,4.56007809637709,0,0.000455120450242024,0.40954145015196,0
29,0.00222044777733138,4.57687771973615,0,0.000454938378488674,0.4100740439858,0
30,0.00222104089643624,4.59344579635999,0,0.00045475010941477,0.410598768941266,0
31,0.0022216340062241,4.61001393505133,0,0.000454561837754203,0.411123497126553,0
32,0.00222222710329744,4.62658215913986,0,0.000454373562496275,0.411648230336388,0
33,0.0022228201844261,4.64315049168505,0,0.000454185282630551,0.412172970673957,0
34,0.00222341324658262,4.65971895549777,0,0.000453996997151772,0.412697720552691,0
35,0.00222400628697353,4.67628757315143,0,0.000453808705064321,0.413222482697791,0
36,0.00222459930306536,4.69285636698037,0,0.000453620405386156,0.413747260146979,0
37,0.00222417206235284,4.6953015006801,0,0.000453770421786642,0.413753008198529,0
38,0.00222430742035875,4.6976489241735,0,0.00045376206579552,0.413816979788965,0
39,0.00222444278000927,4.69999633498631,0,0.000453753710602856,0.413880950487166,0
40,0.00222457814195807,4.70234372805472,0,0.000453745356527197,0.413944919921525,0
41,0.0022247135068562,4.7046910983249,0,0.000453737003886055,0.414008887712483,0
42,0.00222484887535128,4.70703844075334,0,0.000453728652995601,0.414072853472627,0
43,0.00222498424808684,4.70938575030722,0,0.000453720304170374,0.414136816806807,0
44,0.00222511962570152,4.71173302196459,0,0.000453711957722984,0.414200777312239,0
45,0.00222525500882837,4.71408025071453,0,0.000453703613963834,0.414264734578603,0
46,0.0022253903980942,4.71642743155725,0,0.000453695273200847,0.414328688188146,0
47,0.00222552579411885,4.71877455950391,0,0.000453686935739204,0.414392637715764,0
48,0.00222566119751459,4.7211216295765,0,0.000453678601881091,0.41445658272909,0
49,0.00222579660888545,4.72346863680742,0,0.000453670271925461,0.414520522788559,0
50,0.00222593202882669,4.72581557623894,0,0.000453661946167813,0.414584457447468,0
