"Time","Haspini","Plk1i"
0,10.40495996,16.562901411
1,3.02966946976208,16.5600453863407
2,2.75150620259554,16.4858541146305
3,1.70168670184256,15.2591664942326
4,0.552042666837861,9.19098208368026
5,0.385839221731422,4.63233437786191
6,0.371043012901955,4.13865312837278
7,0.367521625820121,4.10859456446781
8,0.364853868165396,4.10580868097649
9,0.3624896177504,4.10463766582688
10,0.360400106475168,4.10370545480021
11,0.358568187400505,4.10291332632104
12,0.356970388566818,4.10223420150233
13,0.355580848406367,4.10164910406577
14,0.354374741263588,4.10114305404795
15,0.353328285691365,4.10070390305221
16,0.352420505624544,4.10032168684701
17,0.351632675559445,4.0999881335928
18,0.350948606091986,4.09969644953685
19,0.350352316246499,4.0994349704143
20,0.349819678224519,4.0992120548451
21,0.349337495294545,4.09899880056043
22,0.34893567938499,4.09882121694523
23,0.348600765752852,4.09867103908629
24,0.348308246770357,4.09853801597106
25,0.348050185001929,4.09841962282435
26,0.347825549461892,4.09831545970956
27,0.347629509095647,4.0982235004846
28,0.34745720636143,4.09814179985506
29,0.347302170073222,4.09806677470825
30,0.347149601162295,4.09799214188158
31,0.346997031456446,4.09791750957676
32,0.346844460569032,4.09784287799477
33,0.346691888068164,4.09776824733674
34,0.346539313476408,4.0976936178041
35,0.346386736270584,4.09761898959894
36,0.346234155881734,4.09754436292428
37,0.346234027902887,4.09754889307811
38,0.346229898348134,4.09753857247203
39,0.346225768565143,4.09752825146899
40,0.346221638462859,4.09751792991108
41,0.346217507950499,4.09750760764172
42,0.3462133769376,4.09749728450597
43,0.346209245334062,4.09748696035076
44,0.346205113050192,4.09747663502514
45,0.346200979996745,4.09746630838056
46,0.34619684608496,4.0974559802711
47,0.346192711226603,4.09744565055369
48,0.346188575333994,4.09743531908837
49,0.346184438320044,4.0974249857385
50,0.346180300098279,4.09741465037093
