"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i"
0,0.2103,0,0,0,0,0,1.8927,0,0,0,0,0
1,0.2318876045849,0.524274502575244,0,0,0,0,0.11624009110066,0.146261991008655,0,0,0,0
2,0.220486744458608,0.603696678753734,0,0,0,0,0.0277739675161369,0.0939117908806988,0,0,0,0
3,0.147261006663422,0.607758166674031,0,0,0,0,0.00863899770279556,0.0915039353250705,0,0,0,0
4,0.0447276369543164,0.582747641375671,0,0,0,0,0,0.0755073481512058,0,0,0,0
5,0.0272234928955905,0.517285539860093,0,0,0,0,0,0.0623189458995352,0,0,0,0
6,0.0241777275258874,0.460483801610227,0,0,0,0,0,0.0533103897390106,0,0,0,0
7,0.0224915355076961,0.417464295744322,0,0,0,0,0,0.0463725211215324,0,0,0,0
8,0.0212849207793063,0.386034392869691,0,0,0,0,0,0.0411576298165725,0,0,0,0
9,0.0204176413756011,0.363490753150558,0,0,0,0,0,0.0373379762195224,0,0,0,0
10,0.0197972926114341,0.347415873822211,0,0,0,0,0,0.0345779426716772,0,0,0,0
11,0.0193512336086786,0.335888997508657,0,0,0,0,0,0.0325847656348448,0,0,0,0
12,0.0190255677626636,0.32749283899516,0,0,0,0,0,0.0311296181193033,0,0,0,0
13,0.0187822360298736,0.321231587559213,0,0,0,0,0,0.0300456634690342,0,0,0,0
14,0.0185953955753294,0.316431796729524,0,0,0,0,0,0.0292173799649381,0,0,0,0
15,0.0184476134964892,0.312640229657869,0,0,0,0,0,0.0285657881703724,0,0,0,0
16,0.0183274476299562,0.309560259905916,0,0,0,0,0,0.028038698207918,0,0,0,0
17,0.018227329666515,0.306996028222368,0,0,0,0,0,0.0276014941310297,0,0,0,0
18,0.018142245790653,0.304817985320417,0,0,0,0,0,0.0272311982221495,0,0,0,0
19,0.0180685409988367,0.302935611912999,0,0,0,0,0,0.026912589638791,0,0,0,0
20,0.0180026163908038,0.301246014779698,0,0,0,0,0,0.0266249649800737,0,0,0,0
21,0.0179429066298311,0.299718862573289,0,0,0,0,0,0.0263665428619647,0,0,0,0
22,0.0178924574383656,0.298428449033412,0,0,0,0,0,0.0261485299920126,0,0,0,0
23,0.0178492622806489,0.297323974141916,0,0,0,0,0,0.0259616972096245,0,0,0,0
24,0.0178107874689856,0.296340256387383,0,0,0,0,0,0.02579536751161,0,0,0,0
25,0.0177762465519622,0.295457169394303,0,0,0,0,0,0.0256459627379383,0,0,0,0
26,0.0177456170196984,0.294674122486762,0,0,0,0,0,0.0255134306561673,0,0,0,0
27,0.0177184151920209,0.293978741685052,0,0,0,0,0,0.0253957186415605,0,0,0,0
28,0.0176941317039089,0.29335799734497,0,0,0,0,0,0.0252906208079265,0,0,0,0
29,0.0176720146524656,0.29279267127475,0,0,0,0,0,0.0251944622421616,0,0,0,0
30,0.0176502141810847,0.29223545262467,0,0,0,0,0,0.0250994312819923,0,0,0,0
31,0.0176284135572559,0.291678231404678,0,0,0,0,0,0.0250044004869721,0,0,0,0
32,0.0176066127186418,0.291121006660325,0,0,0,0,0,0.0249093699252487,0,0,0,0
33,0.0175848116007956,0.290563777455161,0,0,0,0,0,0.0248143396668871,0,0,0,0
34,0.0175630101370985,0.290006542870015,0,0,0,0,0,0.0247193097835707,0,0,0,0
35,0.0175412082587102,0.289449302002637,0,0,0,0,0,0.0246242803483458,0,0,0,0
36,0.0175194058945397,0.288892053967802,0,0,0,0,0,0.0245292514354191,0,0,0,0
37,0.0175178799930208,0.288855498581929,0,0,0,0,0,0.0245260864715172,0,0,0,0
38,0.0175165481688445,0.288820641341179,0,0,0,0,0,0.0245203289142568,0,0,0,0
39,0.017515216253152,0.288785781683853,0,0,0,0,0,0.0245145713634253,0,0,0,0
40,0.0175138842093785,0.288750918642324,0,0,0,0,0,0.0245088138215786,0,0,0,0
41,0.0175125520010211,0.288716051249399,0,0,0,0,0,0.0245030562912541,0,0,0,0
42,0.017511219591645,0.288681178538439,0,0,0,0,0,0.0244972987749684,0,0,0,0
43,0.0175098869448903,0.288646299543463,0,0,0,0,0,0.024491541275216,0,0,0,0
44,0.0175085540244767,0.288611413299237,0,0,0,0,0,0.0244857837944674,0,0,0,0
45,0.017507220794209,0.288576518841348,0,0,0,0,0,0.0244800263351668,0,0,0,0
46,0.0175058872179802,0.288541615206258,0,0,0,0,0,0.0244742688997305,0,0,0,0
47,0.0175045532597753,0.288506701431337,0,0,0,0,0,0.0244685114905443,0,0,0,0
48,0.0175032188836727,0.288471776554865,0,0,0,0,0,0.0244627541099618,0,0,0,0
49,0.0175018840538455,0.288436839616014,0,0,0,0,0,0.0244569967603013,0,0,0,0
50,0.0175005487345605,0.288401889654786,0,0,0,0,0,0.0244512394438439,0,0,0,0
