"Time","pH2A","pH2A_Sgo1","pH2A_Sgo1_CPCa"
0,0,0,0
1,18.5619523496055,21.5307459462772,0.000253209363726193
2,41.115391521587,21.0329684692793,0.00918756647297906
3,55.9166548731221,21.922678786813,0.238902560282254
4,61.5075551185834,23.2683028430877,0.623209640581783
5,63.5515664022312,24.598081809113,0.75907825608316
6,64.3993311398888,25.7826802990338,0.871506562824577
7,64.8132110708946,26.8018781271681,0.976119343380555
8,65.0572803789224,27.6670008008011,1.07252661383178
9,65.2277581191861,28.3975130756133,1.16044471607753
10,65.3599181069028,29.013182768253,1.2400197884151
11,65.4677461318019,29.5316631558102,1.31163791124408
12,65.5577189418052,29.9681592297673,1.37581976615386
13,65.63352595007,30.3355920249249,1.4331512118217
14,65.6976383071646,30.6446845857208,1.48421536027652
15,65.7519771347691,30.9046862149793,1.5296125213188
16,65.7980648317695,31.1232646032569,1.56990150719381
17,65.8371732994331,31.3069401092444,1.605614395055
18,65.8703609139519,31.4611765152986,1.63723500423576
19,65.8986179246673,31.5910314414703,1.6652982156291
20,65.9235055131243,31.7041202582131,1.69077981744985
21,65.9454068171137,31.8031850578917,1.7140237204357
22,65.9630467457295,31.8812891393169,1.7338260368662
23,65.9771733487833,31.9426094755373,1.75060525266635
24,65.9891461916447,31.9937951114957,1.76542517721047
25,65.9994042725704,32.0369976455768,1.7786263250429
26,66.0080307369558,32.0726862536864,1.79023087179867
27,66.0152987769687,32.1021952700475,1.80044607052675
28,66.0214671210618,32.1267670803671,1.80949271874592
29,66.0268535752664,32.1478650496245,1.81768145159663
30,66.0321299512712,32.1684777257273,1.82574655462213
31,66.0374063620975,32.189090529145,1.83381169021409
32,66.0426828211506,32.2097035088598,1.84187687052472
33,66.0479593418605,32.2303167139253,1.84994210751498
34,66.0532359376941,32.2509301935119,1.85800741296562
35,66.0585126221624,32.2715439969312,1.86607279848276
36,66.0637894088204,32.2921581736343,1.87413827549679
37,66.0624753834588,32.2839054692249,1.87473092825126
38,66.0611912416273,32.2758246077992,1.87526664509494
39,66.0599071094396,32.2677438076549,1.87580235815846
40,66.0586229907571,32.2596630933313,1.8763380659294
41,66.0573388894396,32.2515824893574,1.87687376689682
42,66.0560548093448,32.2435020202498,1.87740945955149
43,66.0547707543281,32.2354217105104,1.87794514238608
44,66.0534867282427,32.227341584625,1.87848081389536
45,66.0522027349392,32.2192616670615,1.87901647257638
46,66.0509187782655,32.21118198227,1.87955211692855
47,66.0496348620672,32.2031025546817,1.88008774545379
48,66.0483509901874,32.19502340871,1.88062335665654
49,66.0470671664673,32.1869445687514,1.88115894904378
50,66.0457833947462,32.1788660591877,1.88169452112498
