"Time","pH2A_Sgo1_CPCi"
0,0
1,0.411211886873495
2,0.502002902550267
3,0.394789601870825
4,0.144245290085833
5,0.141051874389367
6,0.154447924908814
7,0.166442434657622
8,0.176646983263062
9,0.185358873240637
10,0.192842999881344
11,0.199309248920198
12,0.204922804173045
13,0.209815019423723
14,0.214089725246578
15,0.217834304575276
16,0.221119836367772
17,0.224006866481743
18,0.226546144046598
19,0.228788478222941
20,0.23081239031865
21,0.232650704763154
22,0.234219197224899
23,0.235549186132805
24,0.236723515227224
25,0.237768905736794
26,0.238687854536695
27,0.239497164454355
28,0.240214114809235
29,0.240863032029252
30,0.241502076067058
31,0.242141123413861
32,0.242780175711901
33,0.243419234810435
34,0.244058302767431
35,0.244697381850915
36,0.245336474539557
37,0.245340984962334
38,0.245395042767172
39,0.245449101742578
40,0.245503162355507
41,0.245557225071589
42,0.245611290354986
43,0.245665358668263
44,0.245719430472259
45,0.245773506225971
46,0.245827586386443
47,0.245881671408676
48,0.24593576174554
49,0.245989857847705
50,0.246043960163592
