"Time","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i","Sum_Inactive"
0,1.45592307692308,0,0,0,0,0,1.45592307692308
1,0.0888251260040215,0.108820651304454,0.282480520407819,2.10667620104454,4.8501694579905e-05,0.00017628844098307,2.5870272888964
2,0.0212226898280568,0.0698691382047693,0.066008882276786,1.1270070173951,0.00246151031812141,0.0298729293997439,1.31644216742258
3,0.00660549076273681,0.0681110796128873,0.0194391900910902,0.930177568307692,0.0119564153727131,0.707303640064139,1.74359338421126
4,0,0.0562751284586696,0,0.627943370860517,0,1.68622743445793,2.37044593377712
5,0,0.0464961404727076,0,0.453702000425544,0,2.47185593094839,2.97205407184664
6,0,0.0398122011676439,0,0.35040114639671,0,3.04463973717145,3.4348530847358
7,0,0.0346596379859852,0,0.280506651822407,0,3.44412053652694,3.75928682633534
8,0,0.0307837442894678,0,0.233042282546291,0,3.71866632310225,3.98249234993801
9,0,0.0279432936837665,0,0.200804547198092,0,3.90686009360233,4.13560793448419
10,0,0.0258900080028107,0,0.178729419018714,0,4.0367921679638,4.24141159498533
11,0,0.0244068186549567,0,0.163362283027336,0,4.12793880205565,4.31570790373795
12,0,0.0233237850413295,0,0.152406926800173,0,4.19339040725776,4.36912111909926
13,0,0.0225168957774764,0,0.144362669984123,0,4.24177256035203,4.40865212611363
14,0,0.0219002793643507,0,0.13826876106761,0,4.27867205985628,4.43884110028825
15,0,0.0214151766859696,0,0.133496686907761,0,4.30773301638964,4.46264487998337
16,0,0.0210227283121726,0,0.129647900473644,0,4.33129456501233,4.48196519379814
17,0,0.020697190119636,0,0.126463296895747,0,4.3508806510874,4.49804113810279
18,0,0.0204214659273374,0,0.123773252675665,0,4.36749142474339,4.51168614334639
19,0,0.0201840351800723,0,0.121460676928915,0,4.38181779166981,4.52346250377879
20,0,0.0199702089897249,0,0.119393149432233,0,4.39463595249278,4.53399931091474
21,0,0.0197775826857613,0,0.117535937332867,0,4.40623063904566,4.54354415906428
22,0,0.0196152248063434,0,0.115971416371323,0,4.41600902319131,4.55159566436898
23,0,0.0194760863325673,0,0.114636684353364,0,4.42435841275261,4.55847118343854
24,0,0.019352219143029,0,0.113452412100785,0,4.43178098204618,4.56458561328999
25,0,0.0192409475324764,0,0.112392556729175,0,4.43843252707529,4.57006603133694
26,0,0.0191422421063505,0,0.111455363459808,0,4.44432113435323,4.57491873991939
27,0,0.0190545739227933,0,0.110625279017776,0,4.4495431422963,4.57922299523687
28,0,0.0189763250489342,0,0.10988593626293,0,4.45419875175354,4.5830610130654
29,0,0.0189045849436798,0,0.109214326675755,0,4.45843519595924,4.58655410757868
30,0,0.018833641139962,0,0.108552932261341,0,4.46261112149677,4.58999769489808
31,0,0.0187626969003628,0,0.107891538141679,0,4.46678707259486,4.5934413076369
32,0,0.0186917520617617,0,0.10723014250131,0,4.47096306222718,4.59688495679025
33,0,0.0186208064634983,0,0.106568742454175,0,4.47513910512152,4.6003286540392
34,0,0.0185498599473041,0,0.105907334044333,0,4.47931521776887,4.60377241176051
35,0,0.0184789123572906,0,0.105245912246967,0,4.48349141842935,4.60721624303361
36,0,0.018407963540005,0,0.104584470970737,0,4.48766772713234,4.61066016164308
37,0,0.0184069715001619,0,0.104565978242982,0,4.48778764418647,4.61076059392962
38,0,0.018402893482649,0,0.104509581310286,0,4.48811113121065,4.61102360600359
39,0,0.0183988155419398,0,0.104453188972366,0,4.48843463500073,4.61128663951503
40,0,0.0183947377085662,0,0.104396803080862,0,4.48875816223355,4.61154970302298
41,0,0.0183906600128752,0,0.104340425491972,0,4.48908171956123,4.61181280506608
42,0,0.0183865824849904,0,0.104284058065008,0,4.48940531360977,4.61207595415976
43,0,0.0183825051547756,0,0.104227702660967,0,4.48972895097766,4.6123391587934
44,0,0.0183784280517974,0,0.104171361141139,0,4.49005263823478,4.61260242742771
45,0,0.0183743512052904,0,0.104115035365734,0,4.49037638192123,4.61286576849226
46,0,0.0183702746441218,0,0.104058727192559,0,4.49070018854651,4.61312919038319
47,0,0.0183661983967578,0,0.104002438475738,0,4.49102406458867,4.61339270146117
48,0,0.0183621224912311,0,0.103946171064479,0,4.49134801649382,4.61365631004953
49,0,0.0183580469551098,0,0.103889926801909,0,4.49167205067574,4.61392002443276
50,0,0.0183539718154666,0,0.103833707523972,0,4.49199617351579,4.61418385285523
