"Time","Haspina","Plk1a"
0,0,1.41563259923077
1,0,1.41783203664591
2,0,1.47543027406099
3,0,2.41999138554598
4,0,7.08680525598466
5,0,10.5933977167392
6,0,10.973069033172
7,0,10.9961296024835
8,0,10.9982168521124
9,0,10.9990681187831
10,0,10.9997423486397
11,0,11.0003152606166
12,0,11.0008071133529
13,0,11.0012318033972
14,0,11.0016001032403
15,0,11.0019207103976
16,0,11.0022006576288
17,0,11.0024457741189
18,0,11.0026608229371
19,0,11.0028519057406
20,0,11.0030199784767
21,0,11.0031780770315
22,0,11.0033105944227
23,0,11.0034231638243
24,0,11.0035230256319
25,0,11.0036121599259
26,0,11.0036907745162
27,0,11.0037603189448
28,0,11.0038220024806
29,0,11.0038677661843
30,0,11.0039051457382
31,0,11.0039425349866
32,0,11.0039799376262
33,0,11.0040173573216
34,0,11.004054797698
35,0,11.0040922623341
36,0,11.0041297547558
37,0,11.0042793893256
38,0,11.0043009021184
39,0,11.0043224140732
40,0,11.0043439248541
41,0,11.0043654341248
42,0,11.0043869415493
43,0,11.0044084467908
44,0,11.0044299495127
45,0,11.0044514493778
46,0,11.004472946049
47,0,11.0044944391883
48,0,11.0045159284579
49,0,11.004537413519
50,0,11.0045588940328
