"Time","Mps1a","pMps1a","Ndc80_Mps1a","Ndc80_pMps1a","pNdc80_Mps1a","pNdc80_pMps1a","Mps1i","pMps1i","Ndc80_Mps1i","Ndc80_pMps1i","pNdc80_Mps1i","pNdc80_pMps1i"
0,0.161769230769231,0,0,0,0,0,1.45592307692308,0,0,0,0,0
1,0.179016824981457,0.406006161367117,0.708010058724359,76.0576451963252,0.00026715799049508,0.00194678287155016,0.0888251260040215,0.108820651304454,0.282480520407819,2.10667620104454,4.8501694579905e-05,0.00017628844098307
2,0.169720413505676,0.466655922320621,0.616432998569411,82.2728525305237,0.039107624336327,0.443648591970879,0.0212226898280568,0.0698691382047693,0.066008882276786,1.1270070173951,0.00246151031812141,0.0298729293997439
3,0.113303670136873,0.469126693013166,0.369012542147072,76.5442929581419,0.327527736026326,12.2413654376754,0.00660549076273681,0.0681110796128873,0.0194391900910902,0.930177568307692,0.0119564153727131,0.707303640064139
4,0.0343730003031161,0.449548080875057,0.0990064017412309,66.8095906557179,0.13297419706883,33.2623264644435,0,0.0562751284586696,0,0.627943370860517,0,1.68622743445793
5,0.0208980342383459,0.399019967643816,0.0550790833635949,55.1542344968124,0.0908163444250657,51.4458674062998,0,0.0464961404727076,0,0.453702000425544,0,2.47185593094839
6,0.0185509209075593,0.355163377971098,0.0455832376445882,45.7749716489887,0.0918360334248113,65.434115433927,0,0.0398122011676439,0,0.35040114639671,0,3.04463973717145
7,0.0172502075064011,0.321952382628922,0.0398969687675156,38.9210636834831,0.0944230010030206,75.7696374895155,0,0.0346596379859852,0,0.280506651822407,0,3.44412053652694
8,0.0163190783703995,0.297691525492447,0.0358743782730438,34.043334337015,0.0961772690425407,83.2147010718579,0,0.0307837442894678,0,0.233042282546291,0,3.71866632310225
9,0.0156496308465327,0.280291036653031,0.0330140348885696,30.6099446201075,0.0973910087310127,88.50277671165,0,0.0279432936837665,0,0.200804547198092,0,3.90686009360233
10,0.0151706880354707,0.267883462820566,0.0309735184023106,28.1924267471572,0.0983196519220436,92.2489114395507,0,0.0258900080028107,0,0.178729419018714,0,4.0367921679638
