"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,4.597,0,0
1,1.60521464511823,0,0
2,1.47584366078682,0,0
3,1.47323660226484,0,0
4,1.46699717064482,0,0
5,1.46333651010378,0,0
6,1.4625204016662,0,0
7,1.46216034660098,0,0
8,1.46191713169042,0,0
9,1.46174645175528,0,0
10,1.46162652359357,0,0
11,1.46154160554204,0,0
12,1.46148047566898,0,0
13,1.46143540476792,0,0
14,1.46140122905856,0,0
15,1.46137450536683,0,0
16,1.46135299301842,0,0
17,1.46133522075206,0,0
18,1.46132021975791,0,0
19,1.46130731829658,0,0
20,1.46129576006466,0,0
21,1.46128536893797,0,0
22,1.46127662288214,0,0
23,1.46126914171257,0,0
24,1.4612624905959,0,0
25,1.46125652298809,0,0
26,1.46125123642481,0,0
27,1.46124654489377,0,0
28,1.46124235925219,0,0
29,1.46123845594542,0,0
30,1.46123454246129,0,0
31,1.46123062892957,0,0
32,1.46122671533175,0,0
33,1.46122280164919,0,0
34,1.46121888786309,0,0
35,1.46121497395448,0,0
36,1.4612110599042,0,0
37,1.46121206924258,0,0
38,1.46121195976256,0,0
39,1.46121185024486,0,0
40,1.46121174067442,0,0
41,1.46121163103626,0,0
42,1.46121152131541,0,0
43,1.46121141149695,0,0
44,1.46121130156602,0,0
45,1.46121119150782,0,0
46,1.46121108130761,0,0
47,1.46121097095071,0,0
48,1.46121086042255,0,0
49,1.46121074970861,0,0
50,1.46121063879446,0,0
