"Time","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi","Sum_Inactive"
0,3.47692307692308,0,0,3.47692307692308
1,0.0028215741461708,2.33525666666382,0,2.33807824080999
2,0.00271544408425892,2.11972702230226,0,2.12244246638652
3,0.00209056222073581,0.421721352073331,0,0.423811914294067
4,0.000851858828867977,0.350507778017381,0,0.351359636846249
5,0.000506444603386011,0.340013767488519,0,0.340520212091905
6,0.000487174709374226,0.347710863735831,0,0.348198038445205
7,0.00048156188607875,0.355175866506153,0,0.355657428392232
8,0.000477239255262533,0.36180629519041,0,0.362283534445673
9,0.000473686105981501,0.367709292773644,0,0.368182978879625
10,0.000470742224956596,0.372970142436031,0,0.373440884660988
11,0.000468288475529612,0.377654909292763,0,0.378123197768292
12,0.000466231527731538,0.381820662215071,0,0.382286893742803
13,0.000464498036649509,0.385519562519798,0,0.385984060556447
14,0.000463030841743871,0.388798511681735,0,0.389261542523479
15,0.00046178345161486,0.391702735738004,0,0.392164519189619
16,0.000460719045920184,0.394272725490756,0,0.394733444536676
17,0.000459807550105978,0.396546016213787,0,0.397005823763893
18,0.000459024944380775,0.398556017125639,0,0.39901504207002
19,0.00045835415279322,0.400338771667705,0,0.400797125820498
20,0.000457746257065465,0.401954724663842,0,0.402412470920908
21,0.000457207889521158,0.403420584195264,0,0.403877792084785
22,0.000456760182671315,0.404678999475237,0,0.405135759657908
23,0.000456388634807577,0.40575094412752,0,0.406207332762327
24,0.000456063915250125,0.406700057073789,0,0.407156120989039
25,0.000455777937459142,0.407547253868076,0,0.408003031805536
26,0.000455529394507881,0.408294383612841,0,0.408749913007349
27,0.000455312360817699,0.408954619933036,0,0.409409932293854
28,0.000455120450242024,0.40954145015196,0,0.409996570602202
29,0.000454938378488674,0.4100740439858,0,0.410528982364288
30,0.00045475010941477,0.410598768941266,0,0.41105351905068
31,0.000454561837754203,0.411123497126553,0,0.411578058964308
32,0.000454373562496275,0.411648230336388,0,0.412102603898885
33,0.000454185282630551,0.412172970673957,0,0.412627155956587
34,0.000453996997151772,0.412697720552691,0,0.413151717549842
35,0.000453808705064321,0.413222482697791,0,0.413676291402855
36,0.000453620405386156,0.413747260146979,0,0.414200880552366
37,0.000453770421786642,0.413753008198529,0,0.414206778620316
38,0.00045376206579552,0.413816979788965,0,0.414270741854761
39,0.000453753710602856,0.413880950487166,0,0.414334704197768
40,0.000453745356527197,0.413944919921525,0,0.414398665278053
41,0.000453737003886055,0.414008887712483,0,0.414462624716369
42,0.000453728652995601,0.414072853472627,0,0.414526582125622
43,0.000453720304170374,0.414136816806807,0,0.414590537110977
44,0.000453711957722984,0.414200777312239,0,0.414654489269962
45,0.000453703613963834,0.414264734578603,0,0.414718438192567
46,0.000453695273200847,0.414328688188146,0,0.414782383461347
47,0.000453686935739204,0.414392637715764,0,0.414846324651504
48,0.000453678601881091,0.41445658272909,0,0.414910261330971
49,0.000453670271925461,0.414520522788559,0,0.414974193060485
50,0.000453661946167813,0.414584457447468,0,0.415038119393636
