"Time","pH3_CPCi"
0,0
1,0.0551941148152674
2,0.200055283161726
3,0.239855088359851
4,0.107228056863969
5,0.113638074295986
6,0.13236401928417
7,0.147201261987253
8,0.158225607612078
9,0.166327826887676
10,0.172267493091882
11,0.176620039911674
12,0.179807723584673
13,0.182137829457726
14,0.183832317594447
15,0.185055776433278
16,0.185928353697768
17,0.186539624635112
18,0.18695650331175
19,0.187229406514063
20,0.187415343925277
21,0.187536876807843
22,0.187566926273907
23,0.187542707024213
24,0.187494000416721
25,0.187430044582055
26,0.187355266842063
27,0.187275029819747
28,0.187192900854741
29,0.187110903813268
30,0.187029082516888
31,0.186947261124701
32,0.186865439543137
33,0.18678361764704
34,0.186701795279545
35,0.186619972251943
36,0.186538148343576
37,0.186478342336404
38,0.186412568608694
39,0.186346795240593
40,0.186281022377894
41,0.186215250167377
42,0.186149478756807
43,0.186083708294941
44,0.186017938931529
45,0.185952170817322
46,0.185886404104086
47,0.185820638944609
48,0.185754875492722
49,0.185689113903318
50,0.185623354332379
