"Time","H3","H2A"
0,261.538461538462,248.461538461538
1,258.195194714407,9.4625054737284
2,258.26270441155,7.2128915888763
3,258.314381194865,6.78023476228123
4,258.354797831967,6.62296907254486
5,258.38717986972,6.52992080582448
6,258.413360204585,6.46439934853576
7,258.434336186713,6.41413782090298
8,258.450872499543,6.37426951429085
9,258.463680457784,6.34230469811674
10,258.473426433264,6.31657270967813
11,258.480707794935,6.29581894257905
12,258.4860399088,6.27906040197691
13,258.489853223032,6.26551439876074
14,258.492494757659,6.25456251411543
15,258.494246040514,6.24569940846845
16,258.495326804118,6.2385241103366
17,258.495909427464,6.23271174590751
18,258.496127506972,6.22800125558513
19,258.496082377219,6.22417085951937
20,258.495889365086,6.22091837941167
21,258.495584851775,6.21814160832755
22,258.495136063238,6.2160557309224
23,258.494623712237,6.21448443910707
24,258.494096795193,6.21320761659671
25,258.493570499864,6.21215499152304
26,258.493055772458,6.21130687893886
27,258.4925620968,6.21062090140702
28,258.492093005953,6.21006049970926
29,258.491646060114,6.20958629312062
30,258.491202606488,6.20912390073229
31,258.490759153344,6.20866150504583
32,258.490315700866,6.20819910479219
33,258.489872249242,6.20773669870036
34,258.489428798658,6.20727428549626
35,258.488985349303,6.2068118639021
36,258.488541901368,6.20634943263642
37,258.488331322409,6.2065832785047
38,258.488125792944,6.20681033753912
39,258.487920265226,6.20703739427291
40,258.487714739954,6.20726444778465
41,258.487509217827,6.20749149715319
42,258.487303699545,6.20771854145767
43,258.487098185805,6.20794557977766
44,258.486892677306,6.20817261119308
45,258.486687174743,6.20839963478428
46,258.486481678815,6.20862664963204
47,258.486276190216,6.20885365481753
48,258.486070709642,6.20908064942223
49,258.485865237788,6.20930763252792
50,258.485659775348,6.20953460321652
