"Time","pH2A_Sgo1_CPCi"
0,0
1,2.33525666666382
2,2.11972702230226
3,0.421721352073331
4,0.350507778017381
5,0.340013767488519
6,0.347710863735831
7,0.355175866506153
8,0.36180629519041
9,0.367709292773644
10,0.372970142436031
11,0.377654909292763
12,0.381820662215071
13,0.385519562519798
14,0.388798511681735
15,0.391702735738004
16,0.394272725490756
17,0.396546016213787
18,0.398556017125639
19,0.400338771667705
20,0.401954724663842
21,0.403420584195264
22,0.404678999475237
23,0.40575094412752
24,0.406700057073789
25,0.407547253868076
26,0.408294383612841
27,0.408954619933036
28,0.40954145015196
29,0.4100740439858
30,0.410598768941266
31,0.411123497126553
32,0.411648230336388
33,0.412172970673957
34,0.412697720552691
35,0.413222482697791
36,0.413747260146979
37,0.413753008198529
38,0.413816979788965
39,0.413880950487166
40,0.413944919921525
41,0.414008887712483
42,0.414072853472627
43,0.414136816806807
44,0.414200777312239
45,0.414264734578603
46,0.414328688188146
47,0.414392637715764
48,0.41445658272909
49,0.414520522788559
50,0.414584457447468
