"Time","CPCa","pH2A_Sgo1_CPCa","pH3_CPCa","CPCi","pH2A_Sgo1_CPCi","pH3_CPCi"
0,0,0,0,4.52,0,0
1,1.61132007631004e-06,0.000253209363726193,3.13171131545263e-05,0.0037108173220084,0.411211886873495,0.0551941148152674
2,6.4463939220982e-05,0.00918756647297906,0.00337677952311314,0.00359354504492115,0.502002902550267,0.200055283161726
3,0.000790586694634341,0.238902560282254,0.130862629677836,0.00282100004954879,0.394789601870825,0.239855088359851
4,0.00246485894951405,0.623209640581783,0.435618680637687,0.00110872132787852,0.144245290085833,0.107228056863969
5,0.00287647739790634,0.75907825608316,0.598998258439949,0.000666213525005327,0.141051874389367,0.113638074295986
6,0.00287993597561169,0.871506562824577,0.731657233414156,0.000639251930324288,0.154447924908814,0.13236401928417
7,0.0028721020933021,0.976119343380555,0.844452574469027,0.000630068052902539,0.166442434657622,0.147201261987253
8,0.00286722802022586,1.07252661383178,0.938520313343373,0.000622987161617752,0.176646983263062,0.158225607612078
9,0.00286476447119104,1.16044471607753,1.01614910526034,0.000617248129605963,0.185358873240637,0.166327826887676
10,0.00286396861995982,1.2400197884151,1.07992505539619,0.00061255976442121,0.192842999881344,0.172267493091882
11,0.00286428853066739,1.31163791124408,1.13223002541883,0.000608703569996848,0.199309248920198,0.176620039911674
12,0.00286533121081062,1.37581976615386,1.17511566660106,0.00060551056893919,0.204922804173045,0.179807723584673
13,0.00286682009156534,1.4331512118217,1.21029871088591,0.000602850219305683,0.209815019423723,0.182137829457726
14,0.00286856473048992,1.48421536027652,1.23917459152433,0.000600621896282152,0.214089725246578,0.183832317594447
15,0.00287043146932826,1.5296125213188,1.26290789416562,0.00059874577257084,0.217834304575276,0.185055776433278
16,0.0028723301724299,1.56990150719381,1.28243578455498,0.000597159251586658,0.221119836367772,0.185928353697768
17,0.00287420097577821,1.605614395055,1.29852724204597,0.00059581198913688,0.224006866481743,0.186539624635112
18,0.0028760008989768,1.63723500423576,1.31180639656944,0.00059466439035224,0.226546144046598,0.18695650331175
19,0.00287768497633639,1.6652982156291,1.32281457835696,0.000593685503191168,0.228788478222941,0.187229406514063
20,0.00287935523593038,1.69077981744985,1.33231297762256,0.000592808019292545,0.23081239031865,0.187415343925277
21,0.00288089957230812,1.7140237204357,1.34055183613533,0.000592032038403606,0.232650704763154,0.187536876807843
22,0.00288231406969952,1.7338260368662,1.34695512600595,0.000591392948168778,0.234219197224899,0.187566926273907
23,0.00288357333336883,1.75060525266635,1.35195092191839,0.000590866820997477,0.235549186132805,0.187542707024213
24,0.00288473270699949,1.76542517721047,1.35612144207745,0.00059040947626893,0.236723515227224,0.187494000416721
25,0.00288579130587695,1.7786263250429,1.35965255439814,0.000590008650350497,0.237768905736794,0.187430044582055
26,0.00288674577339167,1.79023087179867,1.36258989680638,0.000589662086669437,0.238687854536695,0.187355266842063
27,0.00288760826082701,1.80044607052675,1.36504547493207,0.000589360881675059,0.239497164454355,0.187275029819747
28,0.00288837986115526,1.80949271874592,1.36711957862991,0.00058909858731985,0.240214114809235,0.187192900854741
29,0.00288915936978978,1.81768145159663,1.36892667879554,0.00058885316819537,0.240863032029252,0.187110903813268
30,0.00288995684909899,1.82574655462213,1.37069661545652,0.000588607885444339,0.241502076067058,0.187029082516888
31,0.00289075432752495,1.83381169021409,1.37246656198815,0.000588362599194732,0.242141123413861,0.186947261124701
32,0.00289155180495464,1.84187687052472,1.37423652224433,0.000588117308058696,0.242780175711901,0.186865439543137
33,0.00289234928147044,1.84994210751498,1.3760065001159,0.000587872010630181,0.243419234810435,0.18678361764704
34,0.00289314675738988,1.85800741296562,1.37777649953418,0.000587626705487691,0.244058302767431,0.186701795279545
35,0.00289394423330005,1.86607279848276,1.37954652447298,0.00058738139119696,0.244697381850915,0.186619972251943
36,0.00289474171008531,1.87413827549679,1.38131657894865,0.000587136066313596,0.245336474539557,0.186538148343576
37,0.00289420905964709,1.87473092825126,1.38087067085154,0.000587243658932917,0.245340984962334,0.186478342336404
38,0.00289436265718881,1.87526664509494,1.38044623512743,0.000587237921251014,0.245395042767172,0.186412568608694
39,0.00289451624239657,1.87580235815846,1.38002180446257,0.000587232184841752,0.245449101742578,0.186346795240593
40,0.00289466981036397,1.8763380659294,1.37959738088097,0.000587226450213693,0.245503162355507,0.186281022377894
41,0.00289482335620638,1.87687376689682,1.37917296640478,0.000587220717874495,0.245557225071589,0.186215250167377
42,0.00289497687506546,1.87740945955149,1.37874856305397,0.000587214988330598,0.245611290354986,0.186149478756807
43,0.00289513036211342,1.87794514238608,1.37832417284621,0.000587209262086925,0.245665358668263,0.186083708294941
44,0.00289528381255734,1.87848081389536,1.37789979779671,0.000587203539646588,0.245719430472259,0.186017938931529
45,0.00289543722164321,1.87901647257638,1.37747543991807,0.000587197821510607,0.245773506225971,0.185952170817322
46,0.00289559058465992,1.87955211692855,1.37705110122024,0.000587192108177634,0.245827586386443,0.185886404104086
47,0.00289574389694306,1.88008774545379,1.37662678371044,0.000587186400143698,0.245881671408676,0.185820638944609
48,0.00289589715387854,1.88062335665654,1.37620248939326,0.000587180697901964,0.24593576174554,0.185754875492722
49,0.002896050350906,1.88115894904378,1.37577822027067,0.000587175001942501,0.245989857847705,0.185689113903318
50,0.002896203483522,1.88169452112498,1.37535397834222,0.000587169312752079,0.246043960163592,0.185623354332379
