"Time","H3","H2A"
0,340,326.923076923077
1,318.315992069353,286.418913530956
2,307.383605675263,264.263526463186
3,301.79712239702,248.450051100987
4,295.6501925017,241.379764030737
5,292.003373937679,237.873298581259
6,290.460776282166,235.71511099642
7,289.821345064873,234.165425946975
8,289.526652260166,232.949622146257
9,289.365865376418,231.952002138958
10,289.261549881268,231.117113259624
11,289.184693443012,230.412720475299
12,289.123882462131,229.816456181176
13,289.074099005412,229.310992716835
14,289.032753772376,228.882448944667
15,288.998190936295,228.518966747433
16,288.969220846938,228.210726144488
17,288.944897245234,227.949342252861
18,288.924449767762,227.727758345543
19,288.907184976709,227.539340863086
20,288.892082208493,227.37385894397
21,288.878797372528,227.227810622871
22,288.868192663732,227.110695803938
23,288.859709037097,227.017139659956
24,288.852500599932,226.937986927498
25,288.846296305937,226.870279774149
26,288.841039057376,226.813441206098
27,288.836564875938,226.765639641078
28,288.832721094205,226.725135888092
29,288.829324740723,226.689813814559
30,288.825991231249,226.655220615388
31,288.822657706358,226.620627218205
32,288.819324160113,226.586033546829
33,288.815990586573,226.551439524965
34,288.812656979777,226.516845076137
35,288.809323333748,226.482250123648
36,288.805989642492,226.447654590585
37,288.806432663218,226.456624157178
38,288.806858734417,226.465399385787
39,288.807284799476,226.47417454608
40,288.807710855939,226.482949610702
41,288.808136901347,226.49172455231
42,288.808562933247,226.500499343575
43,288.808988949182,226.509273957183
44,288.809414946703,226.51804836584
45,288.809840923357,226.526822542273
46,288.810266876699,226.535596459225
47,288.810692804281,226.544370089464
48,288.81111870366,226.553143405776
49,288.811544572394,226.561916380966
50,288.811970408044,226.570688987853
