"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0,3.09589086984492,0
1,0,3.09572338135593,0
2,0,3.09476996311685,0
3,0,3.09128472274114,0
4,0,3.07967845950243,0
5,0,3.04236190709369,0
6,0,2.92698810616423,0
7,0,2.60338097346416,0
8,0,1.89832574614914,0
9,0,0.972778246684156,0
10,0,0.349044817099641,0
11,0,0.102911144414698,0
12,0,0.0282805709745387,0
13,0,0.00761285773809592,0
14,0,0.00203771742266535,0
15,0,0.000544584110234501,0
16,0,0.000145472695930734,0
17,0,3.8865319901612e-05,0
18,0,1.0381130439081e-05,0
19,0,2.77611924411076e-06,0
20,0,7.40754341110424e-07,0
21,0,1.95803179552401e-07,0
22,0,5.46126688616691e-08,0
23,0,1.2996316025356e-08,0
24,0,4.23135448872253e-09,0
25,0,9.61043297567913e-10,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,1.65581905893616e-11,0
35,0,7.13701534905296e-12,0
36,0,1.01522793298833e-11,0
37,0,0,0
38,0,2.52598665007864e-11,0
39,0,1.08876108429962e-11,0
40,0,1.54876058066869e-11,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,4.81587901600121e-12,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,7.3468724254662e-12,0
49,0,0,0
50,0,0,0
