"Time","Bub1a","pKnl1","pKnl1_Bub1a"
0,0,2.85774541831839,0
1,0,2.85759081355932,0
2,0,2.85671073518479,0
3,0,2.85349359022259,0
4,0,2.84278011646378,0
5,0,2.80833406808648,0
6,0,2.70183517492083,0
7,0,2.4031208985823,0
8,0,1.75230068875306,0
9,0,0.897949150785375,0
10,0,0.322195215784284,0
11,0,0.094994902536644,0
12,0,0.0261051424380357,0
13,0,0.00702725329670394,0
14,0,0.00188096992861418,0
15,0,0.000502693024831848,0
16,0,0.000134282488551447,0
17,0,3.58756799091805e-05,0
18,0,9.58258194376728e-06,0
19,0,2.56257160994841e-06,0
20,0,6.83773237948101e-07,0
21,0,1.80741396509955e-07,0
22,0,5.04116943338457e-08,0
23,0,1.19965994080041e-08,0
24,0,3.90586568190246e-09,0
25,0,8.87116890052591e-10,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,1.52844836204962e-11,0
35,0,6.5880141682417e-12,0
36,0,9.37133476563654e-12,0
37,0,0,0
38,0,2.33167998454862e-11,0
39,0,1.00501023160877e-11,0
40,0,1.42962515128848e-11,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,4.44542678338679e-12,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,6.78172839171962e-12,0
49,0,0,0
50,0,0,0
