Model: _09_16_25_CPC_metacentric_relaxed_model
Simulation: _09_16_25_metacentric_relaxed_model
(SimID_0 (PDE Simulation)) 
Sim time range (0.0 500.0) (saved timepoints 51) 
Number of variables 44 
Variable names ['Haspini', 'Haspina', 'Plk1a', 'H3', 'pH3', 'pKnl1', 'pKnl1_Bub1a', 'Bub1a', 'H2A', 'pH2A', 'Bub1a_his', 'Sgo1', 'pH2A_Sgo1', 'CPCi', 'pH3_CPCi', 'pH2A_Sgo1_CPCi', 'CPCa', 'pH3_CPCa', 'pH2A_Sgo1_CPCa', 'Plk1i', 'Mps1i', 'pMps1i', 'Mps1a', 'pMps1a', 'Ndc80', 'pNdc80', 'Ndc80_Mps1i', 'Ndc80_pMps1i', 'pNdc80_Mps1i', 'pNdc80_pMps1i', 'Ndc80_Mps1a', 'Ndc80_pMps1a', 'pNdc80_Mps1a', 'pNdc80_pMps1a', 'Knl1', 'Sgo1_CPCi', 'Sgo1_CPCa', 'H3_CPCi', 'H3_CPCa', 'I', 'CPC_all', 'CPCi_total', 'CPCa_total', 'pH2_all'] 
 
2D Slice for variable Bub1a_his at time 380.0 in plane XY at Z = 0 
 
X in rows, Y in columns 
2.6901396101723897e-08,2.7008332797099848e-08,2.732666978437433e-08,2.784905085735486e-08,2.8563425390914406e-08,2.945336090978276e-08,3.049847614065623e-08,3.1674988835116405e-08,3.295636960069729e-08,3.4314089156066e-08,3.571844198151815e-08,3.713942454589157e-08,3.854764154792172e-08,3.991520936676772e-08,4.1216622660501313e-08,4.2429548247463096e-08,4.353551044786061e-08,4.4520434219031335e-08,4.537501679823363e-08,4.609490509625243e-08,4.6680664505797266e-08,4.713753466676353e-08,4.7474978494219756e-08,4.770604175439351e-08,4.78465509584812e-08,4.791418663761607e-08,4.792747653743115e-08,4.790475841964119e-08,4.786316461901821e-08,4.7817680095622935e-08,4.7780322437874375e-08,4.775948628597258e-08,4.7759486288040813e-08,4.7780322444152716e-08,4.781768010626494e-08,4.7863164634345716e-08,4.7904758439934996e-08,4.792747656299517e-08,4.7914186668658815e-08,4.784655099509029e-08,4.770604179635307e-08,4.7474978541133496e-08,4.713753471789231e-08,4.6680664560123286e-08,4.609490515248737e-08,4.5375016854868915e-08,4.452043427433421e-08,4.3535510499867735e-08,4.242954829392581e-08,4.121662269864825e-08,3.991520939325454e-08,3.8547641558895205e-08,3.713942453746674e-08,3.5718441950315666e-08,3.431408909943163e-08,3.295636951668468e-08,3.1674988723445725e-08,3.049847600553967e-08,2.9453360762650117e-08,2.8563425247735378e-08,2.784905072963994e-08,2.7326669672456043e-08,2.7008332694848168e-08,2.690139600358643e-08
2.8524151899956413e-08,2.8639195349388493e-08,2.8981662182205703e-08,2.9543629275120375e-08,3.0312115574421025e-08,3.1269416456062134e-08,3.239356745754696e-08,3.3658931684062364e-08,3.503690194299209e-08,3.649670452280842e-08,3.800628666306772e-08,3.9533264473783676e-08,4.104590278495172e-08,4.251409364881687e-08,4.391029651932444e-08,4.521040101914781e-08,4.639447311446526e-08,4.744734775971185e-08,4.8359035771067497e-08,4.912491976809557e-08,4.9745723198336724e-08,5.022724725986344e-08,5.057988232505179e-08,5.0817912508909515e-08,5.0958643530649805e-08,5.102139421967452e-08,5.1026400228365964e-08,5.099368417069154e-08,5.09419491190567e-08,5.088755195729585e-08,5.084360950735967e-08,5.081928380992108e-08,5.0819283812537445e-08,5.084360951530941e-08,5.088755197074565e-08,5.0941949138244414e-08,5.099368419592028e-08,5.1026400259877614e-08,5.1021394257621045e-08,5.095864357494136e-08,5.081791255929334e-08,5.057988238090562e-08,5.022724732030554e-08,4.974572326212803e-08,4.912491983373707e-08,4.83590358368014e-08,4.744734782358834e-08,4.639447317432194e-08,4.5210401072465175e-08,4.391029656313742e-08,4.2514093679510344e-08,4.104590279847578e-08,3.9533264466055526e-08,3.800628663056988e-08,3.6496704462796803e-08,3.50369018533953e-08,3.3658931564524634e-08,3.2393567312723475e-08,3.126941629875266e-08,3.031211542257901e-08,2.954362914157644e-08,2.8981662066410456e-08,2.8639195243259454e-08,2.8524151799187318e-08
3.3584895147841934e-08,3.372549090926046e-08,3.414401464093359e-08,3.483075661531727e-08,3.576980316155293e-08,3.69394390823628e-08,3.8312707348372445e-08,3.985812052956288e-08,4.154051455546382e-08,4.3322030254375964e-08,4.516320190472375e-08,4.702412513999461e-08,4.886566955040406e-08,5.0650694893955935e-08,5.234522469417798e-08,5.3919527865227904e-08,5.5349058469402386e-08,5.6615206199022965e-08,5.770581586945996e-08,5.86154430313814e-08,5.9345324397503665e-08,5.990305551749537e-08,6.030198320103104e-08,6.056033562036068e-08,6.070012779334618e-08,6.074589326072119e-08,6.072330333056988e-08,6.065774254834903e-08,6.057291256260998e-08,6.048953604409741e-08,6.042422778670874e-08,6.038859182626904e-08,6.038859183069699e-08,6.042422779998257e-08,6.048953606638762e-08,6.057291259411064e-08,6.065774258919035e-08,6.072330338086497e-08,6.074589332030042e-08,6.070012786187206e-08,6.056033569710591e-08,6.030198328488967e-08,5.990305560697205e-08,5.934532449075367e-08,5.8615443126181576e-08,5.770581596339286e-08,5.661520628944241e-08,5.534905855346393e-08,5.3919527939773566e-08,5.234522475552313e-08,5.065069493777361e-08,4.8865669571880785e-08,4.7024125134443016e-08,4.5163201868180395e-08,4.332203018383837e-08,4.154051444881373e-08,3.985812038705908e-08,3.831270717660555e-08,3.6939438897766923e-08,3.576980298605357e-08,3.483075646333243e-08,3.414401451000432e-08,3.3725490788850985e-08,3.358489503604027e-08
4.268334384606778e-08,4.2870820715605697e-08,4.3428887549092653e-08,4.4344558189731267e-08,4.559653928899062e-08,4.715575537840605e-08,4.8986081987635674e-08,5.10452819502922e-08,5.328613506710267e-08,5.5657744301017754e-08,5.810699292607139e-08,6.058011711175936e-08,6.302434812895038e-08,6.538956870547094e-08,6.762992012427996e-08,6.97052914972441e-08,7.158262117838081e-08,7.323694314418691e-08,7.465211867862925e-08,7.58212057536673e-08,7.674643459679471e-08,7.743877720216593e-08,7.791711978401433e-08,7.820706899618498e-08,7.833944367292398e-08,7.83485224435791e-08,7.827013255808342e-08,7.813967561017314e-08,7.79901908550767e-08,7.78505561557017e-08,7.774392027783436e-08,7.768644866967232e-08,7.76864486774316e-08,7.774392030116729e-08,7.785055619462012e-08,7.799019090961214e-08,7.813967568024866e-08,7.827013264334218e-08,7.834852254339207e-08,7.833944378627784e-08,7.820706912144148e-08,7.791711991917436e-08,7.743877734459386e-08,7.674643474338077e-08,7.58212059010272e-08,7.46521188230167e-08,7.323694328173838e-08,7.15826213050573e-08,6.970529160868257e-08,6.762992021561758e-08,6.538956877114014e-08,6.30243481629019e-08,6.058011710825277e-08,5.8106992880348926e-08,5.565774420961789e-08,5.3286134927837754e-08,5.104528176438126e-08,4.898608176522751e-08,4.715575514270797e-08,4.559653906943883e-08,4.434455800396099e-08,4.342888739128099e-08,4.28708205701808e-08,4.268334371227924e-08
5.689582242589048e-08,5.715863316595815e-08,5.794093561974846e-08,5.9224483397114735e-08,6.097934251183748e-08,6.316460838949864e-08,6.57294114811631e-08,6.861420862447919e-08,7.175235063027266e-08,7.507190656785854e-08,7.849771224949249e-08,8.195359533658299e-08,8.53647135709131e-08,8.865992742723202e-08,9.177411567079048e-08,9.465033355710356e-08,9.724171016661426e-08,9.951298467967544e-08,1.0144159177427971e-07,1.0301822366871789e-07,1.0424681989138055e-07,1.0514396431266753e-07,1.0573770051063278e-07,1.0606580904361228e-07,1.0617362141723769e-07,1.0611147328224098e-07,1.0593192175890562e-07,1.0568686722242529e-07,1.0542472737796211e-07,1.0518781052422643e-07,1.0501002562607405e-07,1.0491504976905449e-07,1.0491504978233315e-07,1.0501002566594466e-07,1.0518781059052159e-07,1.0542472747033222e-07,1.0568686734026865e-07,1.059319219011957e-07,1.0611147344737713e-07,1.06173621602978e-07,1.0606580924699249e-07,1.0573770072789047e-07,1.0514396453937722e-07,1.0424682012251497e-07,1.0301822389879637e-07,1.0144159199764922e-07,9.951298489052088e-08,9.724171035909247e-08,9.465033372509208e-08,9.177411580759842e-08,8.865992752541977e-08,8.53647136226407e-08,8.195359533442865e-08,7.849771218771908e-08,7.507190644228552e-08,7.175235043867212e-08,6.861420836940912e-08,6.572941117805777e-08,6.316460807193188e-08,6.0979342221148e-08,5.9224483156783145e-08,5.7940935419504514e-08,5.715863298249269e-08,5.6895822257980724e-08
7.789944278863685e-08,7.82774857977199e-08,7.940278865930199e-08,8.124907116865079e-08,8.377319553687772e-08,8.691616682403084e-08,9.06045431476894e-08,9.475225762298686e-08,9.926284489447435e-08,1.0403205045539653e-07,1.0895078125300128e-07,1.1390833267211592e-07,1.1879580185591703e-07,1.2350957291375152e-07,1.2795473857618123e-07,1.320483079564262e-07,1.3572204360365648e-07,1.389247747058907e-07,1.4162404798406026e-07,1.4380700341173977e-07,1.4548039726928153e-07,1.4666973813841369e-07,1.4741754944645056e-07,1.477808217667707e-07,1.478277657623786e-07,1.4763401905172865e-07,1.472784944019214e-07,1.468390801946392e-07,1.463884155257551e-07,1.4598996091167968e-07,1.4569457155583976e-07,1.4553775440902384e-07,1.4553775443098775e-07,1.456945716214035e-07,1.4598996102041732e-07,1.4638841567670619e-07,1.468390803862313e-07,1.4727849463186606e-07,1.4763401931685795e-07,1.4782776605845564e-07,1.4778082208850026e-07,1.4741754978751436e-07,1.4666973849154622e-07,1.454803976265223e-07,1.4380700376458922e-07,1.416240483239744e-07,1.3892477502430512e-07,1.3572204389209674e-07,1.3204830820632256e-07,1.279547387783406e-07,1.235095730580176e-07,1.1879580193193048e-07,1.139083326702839e-07,1.0895078116592233e-07,1.0403205027816297e-07,9.926284462465033e-08,9.475225726517795e-08,9.060454272471497e-08,8.691616638431637e-08,8.377319513934066e-08,8.124907084572459e-08,7.940278839500248e-08,7.827748555759556e-08,7.789944256982916e-08
1.0816491319478316e-07,1.0871558947582414e-07,1.103547635112886e-07,1.1304414791106827e-07,1.1672085785300244e-07,1.2129881769255648e-07,1.2667075506810833e-07,1.3271079478566175e-07,1.3927765231604813e-07,1.4621840499793674e-07,1.5337278880368477e-07,1.6057793181932095e-07,1.6767339556637903e-07,1.74506355843131e-07,1.8093672023274535e-07,1.8684195413213157e-07,1.921213749106781e-07,1.9669967743981805e-07,2.005294752249255e-07,2.0359267962429448e-07,2.0590059343116713e-07,2.0749266118218792e-07,2.0843389250536122e-07,2.088110513755391e-07,2.0872777780167682e-07,2.0829887390328064e-07,2.0764403894123864e-07,2.0688137406374806e-07,2.061209950060298e-07,2.0545908879584335e-07,2.0497272901592728e-07,2.0471572489490685e-07,2.0471572492977287e-07,2.0497272912009105e-07,2.0545908896818472e-07,2.061209952444138e-07,2.0688137436507408e-07,2.07644039301107e-07,2.0829887431577354e-07,2.0872777825957963e-07,2.088110518698865e-07,2.0843389302592205e-07,2.0749266171745038e-07,2.0590059396883826e-07,2.0359268015175479e-07,2.0052947572937624e-07,1.9669967790904137e-07,1.921213753326877e-07,1.8684195449500216e-07,1.8093672052380075e-07,1.7450635604892365e-07,1.6767339567270602e-07,1.6057793181370838e-07,1.5337278867664272e-07,1.4621840474346094e-07,1.3927765193152585e-07,1.3271079427857772e-07,1.2667075447153278e-07,1.2129881707588812e-07,1.1672085729984883e-07,1.1304414746711361e-07,1.1035476315281172e-07,1.0871558915264324e-07,1.081649129013782e-07
1.5123930514925117e-07,1.5204622604902487e-07,1.5444817667540982e-07,1.5838910739970529e-07,1.637768994788253e-07,1.7048534257435865e-07,1.7835695680841003e-07,1.8720669226184288e-07,1.9682652188748494e-07,2.0699091144427497e-07,2.1746310339011688e-07,2.2800209386706003e-07,2.38370117935197e-07,2.4834039431800657e-07,2.5770482409865267e-07,2.6628129507816114e-07,2.739202210992103e-07,2.805099482203125e-07,2.859806897165908e-07,2.9030670943460597e-07,2.9350655537443624e-07,2.9564124738686286e-07,2.968104374869776e-07,2.971466801604308e-07,2.968080644115752e-07,2.9596956080868773e-07,2.9481351818795066e-07,2.93519800484026e-07,2.9225608089956214e-07,2.911688069891388e-07,2.9037531697289054e-07,2.899575272172305e-07,2.8995752727095436e-07,2.903753171335514e-07,2.911688072542083e-07,2.9225608126525326e-07,2.9351980094420453e-07,2.9481351873492653e-07,2.959695614324595e-07,2.968080650997178e-07,2.971466808987092e-07,2.9681043825932763e-07,2.9564124817568987e-07,2.935065561613014e-07,2.9030671020090996e-07,2.8598069044421604e-07,2.8050994889199244e-07,2.739202216983147e-07,2.662812955885012e-07,2.5770482450329026e-07,2.4834039459864436e-07,2.3837011807315203e-07,2.2800209384559055e-07,2.1746310319705782e-07,2.069909110721031e-07,1.9682652133368445e-07,1.872066915378041e-07,1.7835695596157577e-07,1.7048534170327078e-07,1.6377689870203051e-07,1.5838910678133722e-07,1.544481761809692e-07,1.520462256061056e-07,1.512393047481632e-07
2.1214984935767863e-07,2.1333550851359124e-07,2.1686491298909896e-07,2.2265587996673735e-07,2.3057324234455756e-07,2.4043161588868275e-07,2.5199937915585475e-07,2.650039383381196e-07,2.791383264859831e-07,2.940691383130413e-07,3.0944572957384314e-07,3.2491051878039087e-07,3.401101266197685e-07,3.547069848751247e-07,3.6839095324586417e-07,3.8089041060345123e-07,3.919822471107192e-07,4.015001829998416e-07,4.0934088289203423e-07,4.1546742146421266e-07,4.19909782852384e-07,4.227622342953566e-07,4.2417759283300283e-07,4.243585890967764e-07,4.23546710362863e-07,4.2200906285805744e-07,4.2002391948358863e-07,4.1786570516103844e-07,4.157902127448647e-07,4.140208361715762e-07,4.1273655570094367e-07,4.120623169292539e-07,4.1206231701017174e-07,4.1273655594237887e-07,4.1402083656918974e-07,4.157902132913616e-07,4.178657058463099e-07,4.2002392029389677e-07,4.2200906377673127e-07,4.235467113703233e-07,4.243585901705868e-07,4.241775939483113e-07,4.227622354261144e-07,4.1990978397175406e-07,4.154674225457161e-07,4.0934088391046096e-07,4.015001839310647e-07,3.919822479330023e-07,3.808904112952184e-07,3.6839095378445494e-07,3.5470698523647095e-07,3.4011012677894937e-07,3.2491051871518156e-07,3.0944572926847204e-07,2.940691377584596e-07,2.791383256795076e-07,2.650039372968413e-07,2.51999377947528e-07,2.4043161465227283e-07,2.305732412474568e-07,2.226558790990192e-07,2.1686491230060607e-07,2.133355079003119e-07,2.121498488031189e-07
2.9797277425650155e-07,2.99717090680761e-07,3.0490962704977755e-07,3.1342988085201875e-07,3.250795005477438e-07,3.3958612695216913e-07,3.566089706394597e-07,3.7574626975227567e-07,3.965447428682428e-07,4.185110796416773e-07,4.4112540008925564e-07,4.6385646924493723e-07,4.861782898976414e-07,5.075875282986156e-07,5.276210743463809e-07,5.458729173768705e-07,5.620094480319791e-07,5.757822885159548e-07,5.870378150515266e-07,5.957226679794605e-07,6.018847401611658e-07,6.056693801419074e-07,6.07310824765437e-07,6.071191652072037e-07,6.054634284182476e-07,6.027516016606939e-07,5.994086234591891e-07,5.958534967537628e-07,5.924767417513804e-07,5.896193947628979e-07,5.87554678111901e-07,5.864733220132999e-07,5.864733221324377e-07,5.875546784670992e-07,5.896193953461308e-07,5.924767425507515e-07,5.958534977511157e-07,5.994086246322804e-07,6.027516029829229e-07,6.054634298579735e-07,6.071191667304791e-07,6.073108263351994e-07,6.056693817203168e-07,6.01884741709837e-07,5.957226694616942e-07,5.870378164327575e-07,5.757822897649699e-07,5.620094491197623e-07,5.45872918275362e-07,5.276210750268764e-07,5.075875287291624e-07,4.861782900456169e-07,4.6385646908087113e-07,4.411253995926828e-07,4.18511078800973e-07,3.9654474168154015e-07,3.757462682444374e-07,3.5660896890637965e-07,3.3958612519005996e-07,3.2507949899167216e-07,3.134298796283879e-07,3.049096260855868e-07,2.997170898265327e-07,2.979727734854271e-07
