Model: 11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1
Simulation: 11_26_25_metacentric_relaxed_MCF10A_chr19_PMP1_haspin_stripe
(SimID_300540363_1 (PDE Simulation)) 
Sim time range (0.0 500.0) (saved timepoints 51) 
Number of variables 46 
Variable names ['BUB1a', 'BUB1a_his', 'BUB1a_pKNL1', 'CPC_all', 'CPCa', 'CPCa_total', 'CPCi', 'CPCi_total', 'H2A', 'H3', 'H3_CPCa', 'H3_CPCi', 'HASPINa', 'HASPINi', 'KNL1', 'NDC80', 'NDC80_TTKa', 'NDC80_TTKi', 'NDC80_pTTKa', 'NDC80_pTTKi', 'PLK1a', 'PLK1i', 'SGO1', 'SGO1_CPCa', 'SGO1_CPCi', 'SGO1_ic', 'TIMEBOUNDS', 'TIMES', 'TTKa', 'TTKi', 'bound_CPC', 'bound_active_CPC', 'pH2A', 'pH2A_SGO1', 'pH2A_SGO1_CPCa', 'pH2A_SGO1_CPCi', 'pH3', 'pH3_CPCa', 'pH3_CPCi', 'pKNL1', 'pNDC80', 'pNDC80_TTKa', 'pNDC80_TTKi', 'pNDC80_pTTKa', 'pNDC80_pTTKi', 'pNDC80_total', 'pTTKa', 'pTTKi'] 
 
2D Slice for variable BUB1a_his at time 120.0 in plane XY at Z = 0 
 
X in rows, Y in columns 
3.2230505975212773e-09,3.225913205045632e-09,3.2344025068335887e-09,3.2482276869731397e-09,3.2669197444107303e-09,3.289854094254683e-09,3.3162804413990854e-09,3.3453582653256016e-09,3.3761959489108657e-09,3.4078913903616207e-09,3.4395718643524945e-09,3.4704309550783814e-09,3.499760567442026e-09,3.526976323442224e-09,3.551635052315048e-09,3.5734435618271193e-09,3.592258405992603e-09,3.6080769096180104e-09,3.6210202391281308e-09,3.6313097892642882e-09,3.6392385563438465e-09,3.6451394653542948e-09,3.6493527912060776e-09,3.6521948526396606e-09,3.653930057809642e-09,3.654748149448856e-09,3.6547481491833658e-09,3.653930057017385e-09,3.6521948513325543e-09,3.6493527894044116e-09,3.64513946308599e-09,3.6392385536447913e-09,3.631309786177865e-09,3.621020235704269e-09,3.608076905912441e-09,3.5922584020649485e-09,3.5734435577379867e-09,3.551635048121619e-09,3.5269763191922568e-09,3.4997605631705448e-09,3.4704309508070167e-09,3.4395718600850023e-09,3.4078913860733423e-09,3.3761959445536505e-09,3.3453582608435876e-09,3.3162804366590935e-09,3.289854088845312e-09,3.2669197375099674e-09,3.248227677523462e-09,3.2344024952935064e-09,3.2259131949386116e-09,3.2230505805946685e-09
3.4245904198416167e-09,3.4276825219274234e-09,3.4368517408264536e-09,3.4517819545219665e-09,3.4719634095440164e-09,3.4967173643263123e-09,3.5252286632829583e-09,3.5565844290859863e-09,3.5898167256203517e-09,3.6239468334203945e-09,3.6580286991345855e-09,3.691189181793252e-09,3.7226629185119515e-09,3.751819960365365e-09,3.77818476740345e-09,3.801445674781279e-09,3.821454518808248e-09,3.838216707673012e-09,3.851872600183736e-09,3.862671581132396e-09,3.870940660818229e-09,3.877049750947657e-09,3.881375958656796e-09,3.8842692823557256e-09,3.886021984391041e-09,3.886843662703095e-09,3.8868436625406885e-09,3.886021983906279e-09,3.884269281556586e-09,3.881375957555741e-09,3.8770497495628035e-09,3.870940659172826e-09,3.862671579254235e-09,3.851872598105167e-09,3.83821670542982e-09,3.821454516438231e-09,3.801445672321598e-09,3.778184764885932e-09,3.7518199578112435e-09,3.7226629159290408e-09,3.691189179175163e-09,3.6580286964567347e-09,3.623946830629643e-09,3.5898167226405245e-09,3.5565844258337347e-09,3.5252286595867166e-09,3.4967173597129436e-09,3.471963403098795e-09,3.451781945151968e-09,3.4368517295282178e-09,3.4276825121145016e-09,3.4245903951474874e-09
4.054310703399043e-09,4.058128751790322e-09,4.06944858946588e-09,4.087873728455717e-09,4.112764998494039e-09,4.1432716881015835e-09,4.178372710193041e-09,4.216925497957643e-09,4.257719910775691e-09,4.299534164084089e-09,4.3411896936913274e-09,4.381601940752703e-09,4.4198242953329885e-09,4.455082851248354e-09,4.486800180040438e-09,4.51460699550989e-09,4.538341313051063e-09,4.558035465947623e-09,4.5738920772861966e-09,4.586250755344516e-09,4.595547839932504e-09,4.60227194147297e-09,4.606918256780722e-09,4.6099446995417165e-09,4.611732745401382e-09,4.6125555695972184e-09,4.6125555693874835e-09,4.611732744774779e-09,4.60994469850811e-09,4.606918255356194e-09,4.6022719396803315e-09,4.59554783780008e-09,4.5862507529072505e-09,4.5738920745840515e-09,4.5580354630249165e-09,4.5383413099542595e-09,4.514606992285353e-09,4.486800176728572e-09,4.455082847878369e-09,4.41982429191957e-09,4.3816019372955584e-09,4.341189690169176e-09,4.2995341604440685e-09,4.257719906940981e-09,4.216925493837632e-09,4.178372705571159e-09,4.143271682378771e-09,4.1127649905188605e-09,4.087873716972828e-09,4.069448576746826e-09,4.058128742008048e-09,4.054310662642298e-09
5.190622585996121e-09,5.195781632995582e-09,5.2110737849473666e-09,5.2359529919624634e-09,5.269539253859894e-09,5.310661894794757e-09,5.357916769389494e-09,5.409734207176308e-09,5.464453908130627e-09,5.520402630320853e-09,5.5759703634390126e-09,5.629680784185481e-09,5.680252137516746e-09,5.726645264073801e-09,5.768096267598147e-09,5.804132242590377e-09,5.8345695072398916e-09,5.859494847977672e-09,5.879231314557965e-09,5.8942910437201985e-09,5.905318375627068e-09,5.913027109876859e-09,5.918136088997286e-09,5.921307374243863e-09,5.92309108543655e-09,5.9238805250155735e-09,5.923880524742082e-09,5.923091084620181e-09,5.92130737289681e-09,5.9181360871400985e-09,5.9130271075380226e-09,5.905318372842981e-09,5.894291040534471e-09,5.879231311020617e-09,5.859494844143699e-09,5.834569503167596e-09,5.80413223833723e-09,5.768096263214998e-09,5.726645259598605e-09,5.680252132971707e-09,5.629680779575439e-09,5.575970358744055e-09,5.520402625483557e-09,5.464453903068874e-09,5.409734201786138e-09,5.357916763382877e-09,5.310661887375959e-09,5.269539243511523e-09,5.235952977087153e-09,5.211073769278271e-09,5.195781622636673e-09,5.190622528052475e-09
6.974955502398991e-09,6.982290046455971e-09,7.004025612488699e-09,7.039371055880675e-09,7.087051761895229e-09,7.145372889508491e-09,7.2123029730035935e-09,7.285573211702037e-09,7.3627869069179665e-09,7.441532955642572e-09,7.519497089741222e-09,7.594564693872484e-09,7.664909540686148e-09,7.729063623333066e-09,7.785964398214097e-09,7.834977110827751e-09,7.875891384535394e-09,7.908892815051553e-09,7.934511835968607e-09,7.953553506933184e-09,7.96701303767395e-09,7.97598272284981e-09,7.981556468119636e-09,7.984738203050934e-09,7.986360192641486e-09,7.987016593316016e-09,7.987016592953703e-09,7.986360191559868e-09,7.984738201266232e-09,7.98155646565813e-09,7.975982719748556e-09,7.967013033979577e-09,7.953553502701217e-09,7.934511831263367e-09,7.908892809942756e-09,7.875891379096988e-09,7.834977105131831e-09,7.785964392325704e-09,7.729063617301472e-09,7.664909534542431e-09,7.594564687628112e-09,7.519497083376038e-09,7.441532949091581e-09,7.3627869000891934e-09,7.2855732044754254e-09,7.212302965001255e-09,7.145372879679873e-09,7.087051748259265e-09,7.039371036370049e-09,7.004025592307393e-09,6.982290034014218e-09,6.9749554247592034e-09
9.629256534000682e-09,9.639957900093781e-09,9.671663802595244e-09,9.723199259304876e-09,9.792671747645542e-09,9.877565870012547e-09,9.974868486592068e-09,1.008121732740877e-08,1.0193064785532472e-08,1.030684775949342e-08,1.0419154073941475e-08,1.052687621554085e-08,1.0627343871482259e-08,1.071842801537495e-08,1.0798610983776702e-08,1.0867019030377842e-08,1.092341611381872e-08,1.0968160032040784e-08,1.1002124314914687e-08,1.102659138235726e-08,1.1043124232698167e-08,1.1053425231359482e-08,1.1059191336777017e-08,1.1061975277212346e-08,1.1063061765011459e-08,1.1063366829480655e-08,1.1063366828976346e-08,1.1063061763506515e-08,1.106197527472859e-08,1.1059191333350651e-08,1.1053425227040127e-08,1.1043124227549505e-08,1.10265913764547e-08,1.1002124308343794e-08,1.09681600248954e-08,1.0923416106197282e-08,1.0867019022377547e-08,1.079861097548486e-08,1.0718428006860758e-08,1.0627343862792956e-08,1.0526876206700185e-08,1.0419154064934643e-08,1.0306847750248179e-08,1.0193064775946516e-08,1.0081217317346888e-08,9.974868475578264e-09,9.877565856694797e-09,9.792671729492814e-09,9.723199233693453e-09,9.671663776288273e-09,9.639957884026867e-09,9.629256433388846e-09
1.3483428061547808e-08,1.3499241310297302e-08,1.3546082693074074e-08,1.3622186890440053e-08,1.372471119445006e-08,1.3849878735298954e-08,1.3993167801563934e-08,1.414953668920439e-08,1.4313671523215345e-08,1.4480243216198962e-08,1.4644159201067523e-08,1.480079587572436e-08,1.4946198822033253e-08,1.507723975894933e-08,1.519172176234218e-08,1.5288427387632298e-08,1.536710778385966e-08,1.5428414479927694e-08,1.5473779032046386e-08,1.550524892282722e-08,1.5525290790393242e-08,1.5536574064117557e-08,1.5541749259630697e-08,1.5543235459677185e-08,1.5543030857983603e-08,1.554255870952064e-08,1.5542558708799394e-08,1.5543030855830098e-08,1.554323545612249e-08,1.554174925472527e-08,1.5536574057932083e-08,1.5525290783016902e-08,1.5505248914364223e-08,1.5473779022616087e-08,1.5428414469660937e-08,1.5367107772891927e-08,1.5288427376099114e-08,1.5191721750366267e-08,1.507723974663129e-08,1.4946198809447836e-08,1.4800795862917618e-08,1.4644159188036506e-08,1.4480243202868031e-08,1.4313671509473735e-08,1.4149536674902439e-08,1.3993167786121847e-08,1.3849878717022695e-08,1.3724711170175208e-08,1.3622186856901946e-08,1.3546082658757581e-08,1.3499241288947356e-08,1.3483427934085297e-08
1.9016065510119624e-08,1.903957895816589e-08,1.9109215332613257e-08,1.922230812988567e-08,1.9374564356746924e-08,1.9560282242605455e-08,1.9772639022174454e-08,2.000403274884072e-08,2.0246459056990387e-08,2.04919018183501e-08,2.073271581247515e-08,2.0961979964259616e-08,2.1173801391320405e-08,2.1363553378693672e-08,2.1528034311539635e-08,2.1665539330753484e-08,2.1775841754204084e-08,2.18600868070819e-08,2.19206055846482e-08,2.1960662085611683e-08,2.1984150284940816e-08,2.1995261288929655e-08,2.1998142427361042e-08,2.19965705642496e-08,2.1993660916640152e-08,2.1991630320202195e-08,2.199163031915562e-08,2.1993660913515206e-08,2.199657055908981e-08,2.19981424202407e-08,2.1995261279948965e-08,2.1984150274225737e-08,2.1960662073312282e-08,2.1920605570934417e-08,2.1860086792136318e-08,2.177584173822116e-08,2.1665539313924895e-08,2.1528034294042217e-08,2.136355336067726e-08,2.1173801372902044e-08,2.096197994552325e-08,2.0732715793440216e-08,2.0491901798944886e-08,2.0246459037098093e-08,2.0004032728301416e-08,1.9772639000294882e-08,1.9560282217309838e-08,1.9374564324150817e-08,1.9222308085992704e-08,1.9109215287839254e-08,1.9039578929430306e-08,1.9016065350963136e-08
2.6913478326595477e-08,2.694855448682849e-08,2.70524138390492e-08,2.7221018348636698e-08,2.7447868134969882e-08,2.7724333058145706e-08,2.804009105318096e-08,2.8383648821756013e-08,2.8742915834050004e-08,2.910579954395625e-08,2.9460788423855095e-08,2.9797490042241585e-08,3.0107093947234734e-08,3.0382733478373304e-08,3.0619726590964654e-08,3.0815683012384625e-08,3.09704731348092e-08,3.1086062491036386e-08,3.116622392868978e-08,3.121614716122408e-08,3.124197173653814e-08,3.1250274203606425e-08,3.1247543055911056e-08,3.1239675696030345e-08,3.12315301471615e-08,3.1226560626935424e-08,3.122656062540385e-08,3.123153014259098e-08,3.1239675688484155e-08,3.124754304549591e-08,3.125027419046664e-08,3.1241971720858764e-08,3.121614714322009e-08,3.116622390860234e-08,3.108606246913278e-08,3.0970473111365504e-08,3.0815682987677885e-08,3.061972656525321e-08,3.038273345188243e-08,3.0107093920148354e-08,2.9797490014701107e-08,2.946078839592142e-08,2.910579951557454e-08,2.8742915805104205e-08,2.8383648792081978e-08,2.804009102196189e-08,2.772433302287433e-08,2.7447868090943915e-08,2.7221018291027757e-08,2.705241378046182e-08,2.6948554447807055e-08,2.6913478129505168e-08
3.815419964344681e-08,3.82066204633929e-08,3.8361806621052426e-08,3.8613635157349516e-08,3.89522518731434e-08,3.936457674519992e-08,3.9834972121595196e-08,4.034603659533367e-08,4.087948031714317e-08,4.1417032790927665e-08,4.194133214798573e-08,4.2436745764107144e-08,4.289007589435861e-08,4.329111061040392e-08,4.363298941181817e-08,4.391236394880288e-08,4.412934669159213e-08,4.4287253353292376e-08,4.4392157597382174e-08,4.4452288213974954e-08,4.447730876143657e-08,4.447752698647465e-08,4.446308566212289e-08,4.444318752196501e-08,4.4425404641416347e-08,4.441511706568583e-08,4.441511706343607e-08,4.442540463469627e-08,4.444318751087187e-08,4.446308564680843e-08,4.447752696715569e-08,4.447730873837764e-08,4.4452288187489286e-08,4.439215756782433e-08,4.428725332104849e-08,4.412934665706194e-08,4.391236391239072e-08,4.363298937390559e-08,4.329111057133025e-08,4.289007585441056e-08,4.243674572351495e-08,4.194133210688185e-08,4.1417032749290655e-08,4.087948027487704e-08,4.0346036552277626e-08,3.9834972076799296e-08,3.936457669566512e-08,3.895225181323681e-08,3.861363508128626e-08,3.836180654393573e-08,3.820662040995333e-08,3.815419940025937e-08
